DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220216	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
220305	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
220309	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	1	2	1	0
220310	0	0	1	1	0	1	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	1	2	1	0
220311	0	0	1	1	0	1	0	0	0	1	0	3	0	0	0	1	0	0	0	1	0	1	2	1	0
220312	0	0	1	1	0	1	1	0	0	1	0	3	0	0	0	1	0	0	1	1	0	1	2	1	0
220316	0	0	1	1	0	1	1	0	0	1	0	3	0	0	0	1	0	0	2	2	0	1	2	1	0
220317	0	0	2	1	0	1	1	0	0	1	0	3	0	0	0	1	0	0	2	2	0	1	2	2	0
220321	0	0	2	1	0	1	2	0	0	1	0	3	0	0	0	1	0	0	2	2	0	1	2	2	0
