DATE	A00	B00
220204	0/20	N/A
220215	1/20	N/A
220216	2/20	N/A
220217	4/20	N/A
220218	20/20	N/A
220225	20/20 WL3	N/A
220226	20/20 WL4	N/A
220228	20/20 WL7	N/A
220301	20/20 WL8	N/A
220302	20/20 WL9	N/A
220305	20/20 WL10	N/A
220306	20/20 WL9	N/A
220307	20/20 WL8	N/A
220309	20/20 WL9	N/A
220314	20/20 WL10	N/A
220316	19/20 WL8	N/A
220317	19/20 WL7	N/A
220321	20/20 WL6	N/A
220328	19/20 WL9	N/A
220330	20/20 WL6	N/A
220331	20/20 WL4	N/A
220404	20/20 WL5	N/A
220406	20/20 WL3	N/A
220407	20/20 WL2	N/A
220408	20/20 WL1	N/A
220410	19/20 WL1	N/A
220417	18/20 WL1	N/A
220823	2/0	20/20
