DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021
220323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A
220324	0	4	0	2	0	0	1	0	1	0	2	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A
220328	0	5	0	2	0	1	1	0	1	0	2	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A
220330	0	5	0	3	0	2	1	1	2	0	3	0	0	1	0	1	N/A	N/A	N/A	N/A	N/A
220331	0	5	0	3	0	2	1	1	2	0	3	0	0	1	0	1	0	N/A	N/A	N/A	N/A
220404	0	5	0	5	0	2	1	2	2	0	3	0	0	1	0	1	1	0	0	N/A	N/A
220405	1	5	0	6	0	2	1	2	2	0	4	0	0	1	0	1	2	0	0	N/A	N/A
220407	1	6	0	6	0	2	1	2	2	0	4	0	0	1	0	1	2	1	0	N/A	N/A
220410	1	6	0	6	0	2	1	2	2	0	4	0	0	1	0	1	2	1	1	N/A	N/A
220417	1	6	N/A	6	0	2	1	2	3	0	4	0	0	1	0	1	2	1	1	0	N/A
220823	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0
