DATE	001	002	003	004	005	006	007	008	009	010
220301	0/1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220304	1/1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220308	1/1	0/1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220316	1/1	1/1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220324	1/1	1/1	0/1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220328	1/1	1/1	1/1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220330	2/2	1/1	1/1	1/1	N/A	N/A	N/A	N/A	N/A	N/A
220331	2/2	1/1	1/1	1/1	0/1	N/A	N/A	N/A	N/A	N/A
220404	2/2	1/1	1/1	1/1	1/1	N/A	N/A	N/A	N/A	N/A
220406	2/2	1/1	1/1	1/1	1/1	1/1	N/A	N/A	N/A	N/A
220407	2/2	1/1	1/1	1/1	1/1	1/1	1/1	N/A	N/A	N/A
220408	2/2	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1
220417	2/2	1/1	1/1	1/1	2/2	1/1	1/1	1/1	1/1	1/1
