DATE	A00	B00	C00	D00
220204	0/28	0/28	0/28	N/A
220212	2/28	1/28	2/28	N/A
220213	5/28	6/28	7/28	N/A
220214	5/28	7/28	9/28	N/A
220215	6/28	10/28	19/28	N/A
220216	8/28	15/28	23/28	N/A
220216	11/28	22/28	27/28	N/A
220217	12/28	24/28	28/28	N/A
220218	21/28	28/28	28/28	N/A
220219	23/28	28/28	28/28	N/A
220220	24/28	28/28	28/28	N/A
220221	28/28 WL2	28/28 WL2	27/28 WL2	N/A
220222	28/28 WL2	28/28 WL3	28/28 WL2	N/A
220223	28/28 WL3	28/28 WL4	28/28 WL6	N/A
220225	28/28 WL5	28/28 WL5	28/28 WL6	N/A
220226	28/28 WL6	28/28 WL6	28/28 WL9	N/A
220227	28/28 WL6	28/28 WL6	28/28 WL10	N/A
220301	28/28 WL7	28/28 WL6	28/28 WL10	N/A
220302	27/28 WL8	28/28 WL6	28/28 WL12	N/A
220303	28/28 WL7	28/28 WL6	28/28 WL12	N/A
220305	28/28 WL7	28/28 WL7	28/28 WL12	N/A
220306	28/28 WL7	28/28 WL6	28/28 WL12	N/A
220308	28/28 WL7	28/28 WL8	28/28 WL11	N/A
220309	28/28 WL7	28/28 WL8	28/28 WL12	N/A
220310	28/28 WL7	28/28 WL8	28/28 WL13	N/A
220311	28/28 WL6	28/28 WL8	28/28 WL13	N/A
220316	28/28 WL6	27/28 WL7	28/28 WL13	N/A
220317	28/30 WL6	28/30 WL6	28/30 WL13	N/A
220321	30/30 WL4	30/30 WL4	30/30 WL7	N/A
220323	30/30 WL7	30/30 WL4	30/30 WL7	N/A
220324	29/30 WL7	30/30 WL3	30/30 WL7	N/A
220328	29/30 WL4	30/30 WL2	30/30 WL4	N/A
220328	29/30 WL4	30/30 WL4	30/30 WL3	N/A
220330	27/30 WL3	28/30 WL4	28/30 WL3	N/A
220331	29/30	30/30 WL1	30/30 WL2	N/A
220404	30/30	30/30 WL1	30/30	N/A
220405	27/30	30/30 WL1	28/30	N/A
220406	28/30	30/30 WL1	28/30	N/A
220407	29/30	30/30	28/30	N/A
220408	30/30	30/30	28/30	N/A
220410	30/30	30/30	27/30	N/A
220412	29/30	30/30	27/30	N/A
220417	28/30	30/30	27/30	N/A
220823	28/28 WL1	28/28 WL3	28/28	28/28 WL1
