DATE	A00
220204	0/300
220212	2/300
220213	12/300
220214	11/300
220215	17/300
220216	23/300
220216	29/300
220217	30/300
220218	42/300
220219	43/300
220220	44/300
220221	45/300
220221	63/300
220222	68/300
220223	99/300
220224	109/300
220225	148/300
220226	216/300
220227	221/300
220228	227/300
220301	229/300
220302	237/300
220303	242/300
220304	245/300
220305	246/300
220306	248/300
220307	251/300
220308	255/300
220309	253/300
220310	256/300
220311	255/300
220312	258/300
220314	264/300
220316	268/300
220317	269/300
220321	280/300
220323	284/300
220324	286/300
220328	299/300 WL6
220328	298/300 WL9
220330	289/300 WL20
220331	296/300 WL7
220404	300/300 WL6
220405	299/300 WL7
220406	295/300 WL5
220407	299/300
220408	300/300 WL2
220410	298/300 WL2
220412	295/300 WL2
