DATE	A00	B00	C00	D00
220204	0/27	0/27	0/27	N/A
220212	3/27	1/27	1/27	N/A
220213	11/27	6/27	8/27	N/A
220214	14/27	8/27	11/27	N/A
220215	27/27	22/27	24/27	N/A
220216	27/27	27/27	27/27	N/A
220221	27/27 WL3	27/27	27/27	N/A
220222	26/27 WL3	27/27	27/27 WL1	N/A
220223	27/27 WL4	26/27 WL5	27/27 WL5	N/A
220224	27/27 WL3	27/27 WL4	27/27 WL6	N/A
220226	27/27 WL4	27/27 WL4	27/27 WL7	N/A
220228	26/27 WL4	27/27 WL4	27/27 WL7	N/A
220301	27/27 WL3	27/27 WL4	27/27 WL7	N/A
220302	26/27 WL3	27/27 WL4	27/27 WL7	N/A
220303	27/27 WL2	27/27 WL4	27/27 WL7	N/A
220304	27/27 WL3	27/27 WL4	27/27 WL7	N/A
220305	27/27 WL3	26/27 WL4	27/27 WL7	N/A
220306	27/27 WL3	27/27 WL3	27/27 WL7	N/A
220307	27/27 WL3	26/27 WL3	27/27 WL7	N/A
220308	27/27 WL4	27/27 WL2	27/27 WL7	N/A
220310	27/27 WL3	27/27 WL3	27/27 WL7	N/A
220311	27/27 WL4	27/27 WL4	27/27 WL7	N/A
220314	27/27 WL4	27/27 WL3	27/27 WL7	N/A
220316	27/27 WL3	27/27 WL4	27/27 WL7	N/A
220317	27/27 WL3	27/27 WL4	27/27 WL6	N/A
220321	27/27 WL2	27/27 WL4	27/27 WL6	N/A
220323	27/27 WL2	27/27 WL4	27/27 WL4	N/A
220324	27/27 WL1	27/27 WL2	27/27 WL4	N/A
220328	26/27	27/27 WL2	27/27 WL3	N/A
220328	27/27	27/27 WL2	27/27 WL3	N/A
220330	27/27 WL1	26/27 WL3	25/27 WL1	N/A
220331	24/27 WL1	26/27 WL2	27/27	N/A
220404	22/27	26/27	25/27	N/A
220405	24/27	26/27	24/27	N/A
220406	23/27	26/27	25/27	N/A
220407	24/27	26/27	25/27	N/A
220408	23/27	25/27	26/27	N/A
220410	23/27	24/27	26/27	N/A
220417	21/27	24/27	26/27	N/A
220823	27/27 WL5	27/27	27/27 WL1	20/27
