DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051	052	053	054	055	056	057	058	059	060	061	062	063	064	065	066	067	068	069	070	071	072
220221	1	2	0	3	1	0	2	4	2	0	0	0	0	0	1	3	2	2	0	1	0	0	6	0	1	4	2	1	1	1	5	0	0	1	0	0	2	6	2	0	2	0	0	3	1	2	1	0	2	0	0	2	0	1	3	1	2	2	2	0	3	0	0	0	0	0	1	1	1	1	5	0
220221	1	2	0	5	2	0	2	5	2	0	0	0	0	0	1	3	2	3	0	2	0	0	7	0	2	4	2	1	1	2	5	0	1	1	0	0	2	6	2	0	3	0	0	3	1	3	1	0	3	0	0	2	0	1	3	2	4	2	2	0	3	0	0	0	0	0	1	2	1	1	5	0
220223	1	2	0	5	2	0	3	5	3	0	0	0	0	2	2	3	2	3	0	2	0	0	7	0	2	4	2	1	1	2	5	0	1	1	0	0	2	6	2	0	3	0	0	3	1	3	1	0	3	0	0	2	0	1	4	2	5	3	4	0	4	0	0	0	0	0	1	2	1	1	6	0
220224	1	2	0	5	2	0	3	5	3	0	0	0	0	2	2	3	2	3	0	2	0	0	7	0	2	4	2	1	1	2	5	0	1	1	0	0	2	6	2	0	3	0	0	3	1	3	1	0	3	0	0	3	0	1	4	2	5	3	4	0	4	0	0	0	0	0	1	2	1	1	6	0
220225	1	2	0	5	2	0	3	6	4	0	0	0	0	3	2	3	2	4	0	2	0	0	7	1	2	4	2	4	1	2	5	0	1	1	0	0	2	7	2	0	3	0	0	4	1	5	1	0	3	0	0	3	0	1	4	2	5	3	4	0	4	0	0	0	0	0	1	2	1	1	6	0
220226	1	3	0	5	3	0	3	7	4	0	0	0	0	3	2	3	2	4	0	2	0	0	7	1	2	4	2	4	3	2	5	0	1	1	0	0	2	7	2	0	3	0	0	4	1	5	1	0	3	0	0	3	0	1	4	2	5	3	4	0	5	0	0	0	0	0	1	2	1	1	6	0
220227	1	4	0	5	3	0	3	7	4	0	0	0	0	3	2	3	2	5	0	2	0	0	7	1	2	4	2	4	3	2	5	0	1	1	0	0	2	7	2	0	3	0	0	4	1	5	1	0	3	0	1	3	0	1	4	2	5	3	4	0	5	0	0	0	0	0	1	2	1	1	6	0
220228	1	4	0	5	3	0	3	7	4	0	0	0	0	3	2	3	2	5	0	2	0	0	7	1	2	4	2	4	3	2	5	0	1	1	0	0	2	7	2	0	3	0	0	4	1	5	1	0	4	0	1	3	0	1	4	2	5	3	4	0	5	0	0	0	0	0	1	2	1	1	6	0
220301	1	4	0	6	4	0	3	7	5	0	0	0	0	3	2	3	2	5	0	2	0	0	7	1	3	5	2	4	3	2	6	0	1	1	0	0	2	7	2	0	3	0	0	4	1	5	1	0	6	0	1	3	0	1	5	3	5	3	6	0	6	0	0	0	0	0	1	2	1	1	6	0
220302	1	4	0	6	4	0	3	7	5	0	0	0	0	3	2	3	2	5	0	2	1	0	7	2	4	6	2	4	4	3	7	0	3	1	0	0	2	7	2	0	3	0	0	4	1	5	1	0	6	0	1	3	0	1	6	3	5	4	6	0	6	0	0	0	0	0	1	2	1	1	6	0
220303	1	4	0	7	4	0	4	7	5	0	0	0	0	3	2	3	2	5	0	2	1	0	7	2	4	6	2	4	4	3	7	0	3	1	0	0	2	7	2	0	3	0	0	4	1	5	1	0	6	0	1	3	0	1	6	3	5	4	7	0	7	0	0	0	0	0	1	2	1	1	6	0
220304	1	5	0	7	4	0	5	7	5	0	0	0	0	3	2	3	2	5	0	2	1	0	7	2	4	6	3	4	4	3	7	0	3	1	0	0	2	7	2	0	3	0	0	4	1	5	1	0	6	0	1	3	0	1	6	3	5	5	7	0	8	0	0	0	0	0	1	2	1	1	6	0
220305	1	5	0	7	4	0	5	7	6	0	0	0	0	3	2	3	2	5	0	2	1	0	7	2	4	6	4	4	5	3	7	0	3	1	0	0	2	8	2	0	3	0	0	4	1	5	1	0	6	0	1	3	0	1	7	3	5	5	7	0	8	0	0	0	0	0	1	2	1	1	6	0
220306	1	5	0	7	4	0	5	7	6	0	0	0	0	3	2	3	2	5	0	2	1	0	7	2	4	6	4	4	5	3	8	0	3	1	0	0	2	9	2	0	3	0	0	4	1	5	1	0	6	0	1	3	0	1	8	3	5	5	7	0	8	0	0	0	0	0	1	2	1	1	6	0
220307	1	5	0	7	4	0	5	7	6	0	0	0	0	3	2	3	2	5	0	2	1	0	7	2	4	6	4	4	5	3	8	0	4	1	0	0	2	9	2	0	3	0	0	4	1	5	1	0	6	0	1	3	0	1	8	3	5	5	7	0	8	0	0	0	0	0	1	2	1	1	6	0
220308	1	6	0	7	5	1	5	7	6	0	0	0	0	3	3	3	2	5	0	2	1	0	7	2	4	6	4	4	5	3	8	0	4	1	0	0	2	9	2	0	3	0	0	4	1	5	1	1	6	0	1	3	0	1	9	3	5	5	7	0	8	0	0	0	0	0	1	2	1	1	6	0
220309	1	6	0	7	5	1	5	7	6	0	0	0	0	3	3	3	2	5	0	2	1	0	7	2	5	6	4	5	7	3	9	0	4	1	0	0	2	9	2	0	3	0	0	4	1	5	1	1	6	0	1	3	0	1	10	3	5	5	7	0	8	0	0	0	0	0	1	2	1	1	6	0
220310	1	6	0	7	5	1	5	7	6	0	0	0	0	3	3	3	2	6	0	2	1	0	7	2	5	6	4	5	8	3	9	0	4	1	0	0	2	9	2	0	3	0	0	4	1	6	1	1	6	0	2	3	0	1	10	3	7	5	7	0	8	0	0	0	0	0	1	2	1	1	6	0
220311	1	6	0	7	5	1	5	8	7	0	0	0	0	3	4	3	2	6	0	2	1	0	7	2	5	6	4	5	8	3	9	0	4	1	0	0	2	9	2	0	4	0	0	4	1	6	1	1	6	0	2	4	0	1	10	3	7	5	7	1	8	0	0	0	0	0	1	2	1	1	6	0
220312	1	6	0	7	5	1	5	8	7	0	0	0	0	3	4	3	2	6	1	2	1	0	7	2	5	6	4	5	8	3	9	0	4	1	0	0	2	9	2	0	4	0	0	4	1	7	1	1	6	0	2	4	0	1	10	3	7	5	7	1	8	0	0	0	0	0	1	2	1	1	6	0
220314	1	6	0	8	5	1	5	8	7	0	0	0	0	4	4	3	2	6	1	2	1	0	7	2	5	8	4	6	8	3	9	0	5	1	0	0	2	9	2	0	4	0	0	4	1	8	1	1	6	0	2	4	0	1	11	3	8	5	8	1	8	0	0	0	0	0	1	2	1	1	6	0
220316	1	7	0	8	5	1	5	8	7	0	0	0	0	4	4	3	2	6	1	3	1	1	8	2	5	8	4	6	8	3	9	0	5	1	0	0	2	9	2	1	4	1	0	4	1	9	1	1	6	0	2	4	0	1	11	3	10	5	9	1	9	0	0	0	0	0	1	2	1	1	6	1
220317	1	8	0	8	5	1	5	8	7	0	0	0	1	4	5	3	2	7	1	3	1	1	8	2	6	8	4	7	8	3	10	0	5	1	1	0	2	9	2	1	4	1	0	5	1	9	1	1	6	0	2	4	1	1	11	3	10	5	9	1	9	0	0	0	0	0	1	2	1	1	6	1
220321	1	8	0	8	5	1	6	8	7	0	0	0	1	4	5	5	2	9	1	3	2	1	8	2	6	8	4	7	8	3	11	0	6	1	2	0	2	9	3	1	5	1	0	6	1	10	1	2	6	0	2	4	1	1	13	3	11	5	11	1	9	0	0	0	0	0	1	2	1	1	6	1
220323	1	9	0	8	5	0	6	8	7	0	0	0	1	4	6	5	2	9	1	3	2	1	8	2	6	8	4	8	9	3	14	0	6	1	2	0	3	10	3	1	5	1	0	6	2	11	1	3	7	0	2	4	1	1	14	3	11	5	12	1	9	0	0	0	0	0	1	3	1	1	6	1
220324	1	9	0	10	5	0	6	8	7	0	0	0	2	4	6	5	2	9	2	3	3	1	8	2	6	8	4	8	9	3	14	0	6	1	3	0	3	10	3	1	5	1	0	6	2	11	1	4	7	0	2	4	1	1	14	3	11	5	12	1	10	0	0	0	0	0	1	4	1	1	6	1
220328	1	13	0	13	7	0	6	9	8	0	0	0	2	4	6	5	2	9	2	3	4	1	8	2	7	8	4	11	9	3	14	1	6	1	3	0	3	11	3	1	5	1	0	6	2	12	1	5	7	0	2	4	3	1	15	3	11	6	13	1	10	0	0	0	0	0	1	4	1	1	6	1
220328	2	13	0	13	7	1	6	9	8	0	0	0	2	4	6	5	2	9	2	3	4	1	8	2	7	8	4	11	9	3	14	1	6	1	3	0	3	11	3	1	5	1	0	6	2	12	1	5	7	0	2	4	3	1	15	3	11	6	13	1	10	0	0	0	0	0	1	4	1	1	6	1
