DATE	A00	B00	C00	D00
220204	0/100	0/85	0/85	0/85
220212	3/100	0/85	0/85	2/85
220213	4/100	3/85	0/85	5/85
220214	5/100	5/85	1/85	5/85
220215	10/100	10/85	6/85	9/85
220216	13/100	14/85	10/85	9/85
220216	15/100	16/85	11/85	10/85
220217	16/100	16/85	11/85	11/85
220218	17/100	17/85	11/85	12/85
220221	24/100	25/85	13/85	13/85
220222	29/100	27/85	14/85	14/85
220223	56/100	47/85	28/85	21/85
220224	64/100	66/85	36/85	28/85
220225	91/100	84/85 WL1	42/85	35/85
220226	96/100	85/85 WL1	43/85	36/85
220227	96/100	85/85 WL1	43/85	38/85
220228	98/100	85/85 WL2	43/85	38/85
220301	100/100 WL2	85/85 WL2	44/85	37/85
220302	100/100 WL2	85/85 WL1	45/85	35/85
220303	100/100 WL2	85/85 WL2	46/85	35/85
220304	100/100 WL2	85/85 WL2	47/85	35/85
220305	100/100 WL2	85/85 WL4	47/85	34/85
220306	100/100 WL2	85/85 WL5	47/85	33/85
220308	100/100 WL1	85/85 WL7	47/85	34/85
220309	100/100 WL2	85/85 WL8	49/85	33/85
220310	100/100 WL3	85/85 WL8	50/85	35/85
220311	100/100 WL2	85/85 WL8	49/85	35/85
220312	100/100 WL3	85/85 WL9	49/85	35/85
220314	100/100 WL3	85/85 WL9	50/85	35/85
220316	100/100 WL4	85/85 WL9	50/85	35/85
