DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029
220204	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220214	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	1/5	0/5	0/5	1/5	0/5	N/A	0/5	0/5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220215	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	1/5	0/5	0/5	1/5	1/5	N/A	1/5	0/5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220224	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	1/5	0/5	0/5	1/5	2/5	N/A	1/5	0/5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220301	0/5	2/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	2/5	0/5	0/5	0/5	2/5	N/A	2/5	1/5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220302	0/5	2/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	1/5	0/5	0/5	0/5	2/5	0/5	0/5	0/5	2/5	N/A	2/5	1/5	1/5	2/5	0/5	N/A	N/A	N/A	N/A
220303	0/5	2/5	0/5	0/5	0/5	0/5	0/5	0/5	0/5	1/5	1/5	0/5	0/5	0/5	2/5	0/5	0/5	0/5	2/5	N/A	2/5	1/5	1/5	2/5	0/5	N/A	N/A	N/A	N/A
220305	0/5	2/5	0/5	0/5	0/5	0/5	0/5	1/5	1/5	1/5	1/5	0/5	0/5	0/5	2/5	0/5	0/5	0/5	2/5	N/A	3/5	1/5	1/5	2/5	0/5	N/A	N/A	N/A	N/A
220309	0/5	2/5	0/5	0/5	0/5	0/5	0/5	1/5	1/5	1/5	1/5	0/5	0/5	0/5	2/5	0/5	0/5	0/5	2/5	N/A	3/5	1/5	1/5	2/5	1/5	N/A	N/A	N/A	N/A
220311	0/5	2/5	0/5	0/5	0/5	0/5	0/5	1/5	1/5	1/5	1/5	0/5	0/5	0/5	2/5	0/5	0/5	0/5	2/5	N/A	3/5	N/A	1/5	2/5	1/5	0/5	N/A	N/A	N/A
220312	0/5	2/5	0/5	0/5	0/5	0/5	0/5	1/5	1/5	1/5	1/5	0/5	0/5	0/5	2/5	0/5	0/5	0/5	2/5	N/A	3/5	N/A	1/5	3/5	1/5	0/5	N/A	N/A	N/A
220314	0/5	2/5	0/5	0/5	0/5	0/5	0/5	1/5	1/5	1/5	1/5	0/5	0/5	0/5	3/5	0/5	0/5	0/5	2/5	N/A	3/5	N/A	1/5	3/5	2/5	0/5	N/A	N/A	N/A
220316	0/5	2/5	0/5	0/5	0/5	0/5	0/5	1/5	1/5	1/5	1/5	0/5	0/5	0/5	4/5	0/5	0/5	0/5	3/5	N/A	3/5	N/A	2/5	4/5	2/5	1/5	N/A	N/A	N/A
220317	0/5	2/5	0/5	0/5	0/5	0/5	0/5	1/5	1/5	2/5	1/5	0/5	0/5	0/5	4/5	0/5	0/5	0/5	3/5	N/A	3/5	N/A	2/5	3/5	2/5	1/5	N/A	N/A	N/A
220321	0/5	2/5	0/5	0/5	0/5	0/5	0/5	1/5	1/5	2/5	1/5	0/5	0/5	0/5	4/5	0/5	0/5	0/5	3/5	N/A	3/5	N/A	2/5	4/5	3/5	2/5	N/A	N/A	N/A
220323	0/5	2/5	0/5	0/5	0/5	0/5	1/5	1/5	1/5	2/5	1/5	0/5	0/5	0/5	4/5	0/5	0/5	0/5	3/5	N/A	3/5	N/A	2/5	4/5	4/5	2/5	N/A	N/A	N/A
220324	0/5	2/5	0/5	0/5	0/5	0/5	1/5	1/5	1/5	2/5	1/5	0/5	0/5	0/5	4/5	0/5	0/5	0/5	3/5	N/A	4/5	N/A	2/5	5/5	4/5	3/5	N/A	N/A	N/A
220328	0/5	2/5	0/5	0/5	0/5	0/5	1/5	1/5	1/5	2/5	1/5	0/5	0/5	0/5	4/5	0/5	0/5	0/5	3/5	N/A	4/5	N/A	2/5	5/5	5/5	4/5	N/A	N/A	N/A
220330	0/5	2/5	N/A	0/5	0/5	0/5	1/5	1/5	1/5	3/5	1/5	0/5	0/5	0/5	5/5	0/5	0/5	0/5	3/5	N/A	4/5	N/A	3/5	5/5	5/5	4/5	1/5	N/A	N/A
220331	0/5	2/5	N/A	0/5	0/5	0/5	1/5	1/5	1/5	3/5	1/5	0/5	0/5	0/5	5/5	0/5	0/5	0/5	3/5	N/A	4/5	N/A	3/5	5/5	5/5	4/5	2/5	N/A	N/A
220404	0/5	2/5	N/A	0/5	0/5	0/5	1/5	1/5	1/5	4/5	1/5	0/5	0/5	0/5	5/5	0/5	0/5	0/5	3/5	N/A	4/5	N/A	3/5	5/5	5/5	4/5	2/5	2/10	N/A
220405	0/5	2/5	N/A	0/5	1/5	0/5	1/5	1/5	1/5	3/5	1/5	0/5	0/5	0/5	5/5	0/5	0/5	0/5	3/5	N/A	4/5	N/A	3/5	5/5	5/5	4/5	2/5	3/10	N/A
220406	0/5	2/5	N/A	0/5	1/5	0/5	1/5	1/5	1/5	3/5	1/5	0/5	0/5	0/5	5/5	0/5	0/5	0/5	3/5	N/A	5/5	N/A	3/5	5/5	5/5	4/5	1/5	5/10	0/3
220407	0/5	2/5	N/A	0/5	1/5	0/5	1/5	1/5	1/5	3/5	1/5	0/5	0/5	0/5	5/5	0/5	0/5	0/5	3/5	N/A	5/5	N/A	3/5	5/5	5/5	4/5	2/5	5/10	0/3
220408	0/5	2/5	N/A	0/5	1/5	0/5	0/5	1/5	1/5	3/5	1/5	0/5	0/5	0/5	5/5	0/5	0/5	0/5	3/5	N/A	5/5	N/A	3/5	5/5	5/5	4/5	2/5	5/10	0/3
220823	0/5	0/5	N/A	0/5	1/5	0/5	0/5	1/5	0/5	0/5	4/5	N/A	0/5	1/5	0/5	0/5	0/5	0/5	0/5	0/5	4/5	0/5	0/5	1/5	N/A	N/A	N/A	N/A	N/A
