DATE	A01	B01
220204	0/30	N/A
220212	3/25	N/A
220213	21/25	N/A
220214	25/25	N/A
220216	26/25	N/A
220221	26/25 WL1	N/A
220222	27/25 WL2	N/A
220223	30/25 WL21	N/A
220227	30/25 WL20	N/A
220228	30/25 WL21	N/A
220301	30/25 WL20	N/A
220302	30/25 WL19	N/A
220303	30/30 WL19	N/A
220308	30/30 WL12	7/30
220309	30/30 WL9	11/30
220310	30/30 WL7	17/30
220311	30/30 WL7	16/30
220312	30/30 WL7	15/30
220314	30/30 WL7	16/30
220316	30/30 WL5	15/30
220317	30/30 WL5	16/30
220321	30/30 WL5	14/30
220323	30/30 WL2	17/30
220328	30/30 WL1	18/30
220328	28/30 WL1	19/30
220330	29/30	20/30
220331	28/0	21/30
