DATE	A00	B00
220204	0/35	0/35
220212	5/35	3/35
220213	16/35	8/35
220214	17/35	9/35
220215	28/35	23/35
220216	35/35	35/35
220221	34/35 WL4	35/35 WL1
220222	35/35 WL4	35/35 WL2
220223	35/35 WL2	35/35 WL3
220224	35/35 WL8	35/35 WL5
220225	35/35 WL11	35/35 WL16
220226	35/35 WL12	35/35 WL22
220301	35/35 WL14	35/35 WL21
220303	35/35 WL15	35/35 WL20
220304	35/35 WL16	35/35 WL20
220305	35/35 WL17	35/35 WL21
220308	35/35 WL19	35/35 WL21
220309	35/35 WL18	35/35 WL21
220310	35/35 WL19	35/35 WL21
220311	35/35 WL20	35/35 WL21
220312	35/35 WL20	35/35 WL20
220314	35/35 WL18	35/35 WL19
220316	35/35 WL19	34/35 WL19
220317	35/35 WL19	35/35 WL18
220321	35/35 WL18	34/35 WL18
220323	35/35 WL18	35/35 WL17
220328	35/35 WL15	35/35 WL11
220328	33/35 WL17	35/35 WL12
220330	32/35 WL12	33/35 WL8
220331	35/35 WL9	35/35 WL6
220404	35/35 WL4	35/35 WL3
220406	37/41	38/39
220407	41/41 WL1	39/39 WL1
