DATE	A01	A02	B01	B02
220204	0/24	0/24	0/24	0/24
220212	0/22	0/22	1/22	1/22
220213	8/22	2/22	7/22	1/22
220214	8/22	3/22	12/22	2/22
220215	22/22	11/22	22/22	22/22
220216	22/22	22/22	22/22	22/22
220221	23/22	22/22	22/22 WL2	22/22 WL1
220222	23/22	22/22	21/22 WL2	22/22 WL1
220223	24/22 WL1	22/22 WL1	22/22 WL1	22/22 WL2
220224	24/22 WL2	22/22 WL3	22/22 WL2	22/22 WL3
220225	24/22 WL3	22/22 WL3	22/22 WL4	22/22 WL4
220226	24/22 WL4	22/22 WL4	22/22 WL4	22/22 WL4
220301	24/22 WL4	22/22 WL4	22/22 WL5	22/22 WL4
220308	24/22 WL3	22/22 WL4	22/22 WL5	22/22 WL4
220309	23/22 WL3	22/22 WL4	22/22 WL5	22/22 WL4
