DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017
220204	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15
220212	0/15	1/15	0/15	0/15	0/15	0/15	N/A	1/15	N/A	N/A	N/A	N/A	N/A	0/15	0/15	N/A	N/A
220213	0/15	2/15	4/15	4/15	2/15	0/15	N/A	2/15	N/A	N/A	N/A	N/A	N/A	2/15	0/15	N/A	N/A
220214	0/15	3/15	3/15	5/15	2/15	0/15	N/A	2/15	N/A	N/A	N/A	N/A	N/A	3/15	0/15	N/A	N/A
220215	0/15	3/15	3/15	7/15	2/15	1/15	N/A	2/15	N/A	N/A	N/A	N/A	N/A	4/15	1/15	N/A	N/A
220216	0/15	4/15	7/15	8/15	3/15	1/15	N/A	2/15	N/A	N/A	N/A	N/A	N/A	4/15	3/15	N/A	N/A
220216	0/15	4/15	9/15	12/15	8/15	1/15	N/A	3/15	N/A	N/A	N/A	N/A	N/A	8/15	4/15	N/A	N/A
220217	0/15	5/15	11/15	13/15	10/15	2/15	N/A	5/15	N/A	N/A	N/A	N/A	N/A	10/15	4/15	N/A	N/A
220218	15/15	15/15	15/15	15/15	15/15	15/15	N/A	15/15	N/A	N/A	N/A	N/A	N/A	15/15	15/15	N/A	N/A
220221	15/15	15/15	15/15	15/15	15/15	15/15	N/A	15/15	N/A	N/A	N/A	N/A	N/A	15/15 WL1	15/15	N/A	N/A
220222	15/15	15/15 WL1	15/15	15/15	15/15	15/15	N/A	15/15 WL1	N/A	N/A	N/A	N/A	N/A	15/15 WL1	15/15	N/A	N/A
220223	15/15	15/15 WL1	15/15	15/15	15/15 WL2	15/15 WL2	N/A	15/15 WL1	N/A	N/A	N/A	N/A	N/A	15/15 WL2	15/15 WL1	N/A	N/A
220224	15/15	15/15 WL1	15/15 WL1	15/15 WL2	15/15 WL2	15/15 WL2	N/A	15/15 WL1	N/A	N/A	N/A	N/A	N/A	15/15 WL2	15/15 WL1	N/A	N/A
220225	15/15 WL2	15/15 WL2	15/15 WL3	15/15 WL2	15/15 WL2	15/15 WL2	N/A	15/15 WL3	N/A	N/A	N/A	N/A	N/A	15/15 WL3	15/15 WL2	N/A	N/A
220226	15/15 WL5	15/15 WL6	15/15 WL12	15/15 WL8	15/15 WL6	15/15 WL7	N/A	15/15 WL6	N/A	N/A	N/A	N/A	N/A	15/15 WL7	15/15 WL7	N/A	N/A
220227	15/15 WL5	15/15 WL7	15/15 WL11	15/15 WL8	15/15 WL6	15/15 WL7	N/A	15/15 WL6	N/A	N/A	N/A	N/A	N/A	15/15 WL7	15/15 WL8	N/A	N/A
220228	15/15 WL7	15/15 WL7	15/15 WL11	15/15 WL9	15/15 WL8	15/15 WL8	N/A	15/15 WL6	N/A	N/A	N/A	N/A	N/A	15/15 WL7	15/15 WL9	N/A	N/A
220301	15/15 WL7	15/15 WL7	15/15 WL11	15/15 WL9	15/15 WL9	15/15 WL8	N/A	15/15 WL6	N/A	N/A	N/A	N/A	N/A	15/15 WL8	15/15 WL9	N/A	N/A
