DATE	A00
220204	0/30
220212	2/30
220213	10/30
220214	13/30
220215	30/30
220221	30/30 WL4
220222	30/30 WL8
220223	30/30 WL19
220224	30/30 WL26
220226	30/30 WL30
220301	30/30 WL31
220302	30/30 WL33
220304	30/30 WL35
220305	68/70
220306	70/70
220307	70/70 WL1
220308	70/70 WL2
220310	70/70 WL4
220314	70/70 WL5
220317	69/70 WL5
220321	70/70 WL5
220328	70/70 WL8
220328	70/70 WL9
220330	69/70 WL16
220331	74/70 WL13
220404	77/70 WL11
220406	77/70 WL12
220407	77/70 WL11
220408	77/70 WL10
220417	76/70 WL10
