DATE	A01	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12
220204	N/A	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30
220212	N/A	0/30	1/30	1/30	0/30	0/30	0/30	0/30	0/30	0/30	1/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30
220213	N/A	2/30	4/30	2/30	2/30	1/30	2/30	4/30	0/30	1/30	3/30	3/30	0/30	3/30	2/30	0/30	0/30	0/30	0/30	2/30	1/30	1/30	0/30	0/30	0/30
220215	N/A	2/30	5/30	1/30	2/30	1/30	2/30	4/30	0/30	1/30	3/30	3/30	0/30	6/30	2/30	0/30	0/30	0/30	1/30	2/30	1/30	1/30	0/30	0/30	0/30
220216	N/A	3/30	7/30	1/30	2/30	1/30	3/30	4/30	0/30	1/30	3/30	5/30	0/30	7/30	2/30	0/30	0/30	0/30	3/30	3/30	4/30	1/30	0/30	0/30	0/30
220216	N/A	10/30	18/30	1/30	4/30	5/30	6/28	7/30	1/30	2/30	3/30	5/30	2/30	17/30	4/30	6/30	1/30	1/30	6/30	6/30	7/30	3/30	0/30	1/30	0/30
220217	N/A	12/30	23/30	3/30	5/30	9/30	6/28	8/30	2/30	2/30	3/30	6/30	2/30	18/30	6/30	8/30	4/30	2/30	6/30	7/30	7/30	3/30	0/30	1/30	0/30
220218	N/A	30/30	30/30	17/30	15/30	23/30	11/28	14/30	5/30	4/30	6/30	10/30	4/30	30/30	18/30	29/30	9/30	13/30	18/30	12/30	10/30	9/30	1/30	5/30	1/30
220219	N/A	30/30	29/30	17/30	16/30	25/30	11/28	15/30	4/30	4/30	6/30	10/30	4/30	30/30	19/30	30/30	9/30	13/30	18/30	13/30	11/30	9/30	1/30	5/30	1/30
220220	N/A	30/30	29/30	16/30	16/30	25/30	11/28	15/30	4/30	4/30	6/30	10/30	4/30	30/30	19/30	30/30	9/30	13/30	18/30	15/30	11/30	9/30	1/30	5/30	1/30
220221	N/A	30/30	29/30	18/30	18/30	27/30	11/28	16/30	4/30	4/30	8/30	10/30	5/30	30/30	24/30	30/30	10/30	14/30	18/30	18/30	12/30	11/30	2/30	6/30	1/30
220222	N/A	30/30	29/30	18/30	18/30	27/30	11/28	16/30	4/30	4/30	8/30	11/30	5/30	30/30	24/30	30/30	11/30	14/30	18/30	18/30	13/30	11/30	2/30	6/30	1/30
220223	N/A	30/30	27/30	18/30	19/30	28/30	12/28	16/30	4/30	4/30	8/30	11/30	5/30	30/30	25/30	30/30	14/30	15/30	19/30	18/30	12/30	11/30	2/30	6/30	1/30
220224	N/A	30/30	29/30	18/30	20/30	29/30	12/28	16/30	5/30	4/30	8/30	13/30	5/30	30/30	27/30	30/30	15/30	15/30	19/30	19/30	12/30	12/30	2/30	6/30	1/30
220225	N/A	30/30 WL1	30/30 WL1	30/30	30/30	30/30 WL1	28/28	30/30	24/30	12/30	17/30	15/30	7/30	30/30 WL1	30/30 WL2	30/30	30/30	30/30	30/30	30/30	27/30	16/30	6/30	8/30	4/30
220226	N/A	30/30	30/30 WL4	30/30 WL1	30/30 WL1	30/30	28/28	30/30	30/30	30/30	30/30	30/30 WL1	28/30	30/30 WL3	30/30 WL2	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL2	30/30 WL1	30/30	30/30	30/30	30/30	15/30
