DATE	A01	A02	A03
220204	0/53	0/53	0/52
220212	0/53	1/53	1/52
220213	5/53	4/53	3/52
220214	5/53	5/53	3/52
220215	11/53	10/53	3/52
220216	12/53	20/53	10/52
220216	18/53	38/53	17/52
220217	20/53	40/53	17/52
220218	27/53	53/53	32/52
220219	28/53	53/53	31/52
220220	28/53	52/53	32/52
220221	31/53	53/53 WL1	34/52
220222	33/53	53/53	36/52
220223	52/53	53/53 WL2	49/52
220224	52/53 WL2	53/53 WL4	52/52 WL2
220225	53/53 WL7	53/53 WL9	51/52 WL9
220226	53/53 WL10	53/53 WL8	52/52 WL8
220227	53/53 WL10	53/53 WL9	52/52 WL8
220228	53/53 WL10	53/53 WL9	52/52 WL9
220301	53/53 WL11	53/53 WL9	52/52 WL8
220302	53/53 WL11	53/53 WL10	51/52 WL8
220303	52/53 WL11	53/53 WL10	52/52 WL7
220304	53/53 WL10	53/53 WL10	52/52 WL8
220305	53/53 WL9	53/53 WL10	52/52 WL8
220306	53/53 WL9	53/53 WL11	52/52 WL8
220307	53/53 WL9	53/53 WL10	52/52 WL8
220308	53/53 WL9	53/53 WL10	52/52 WL7
220309	53/53 WL10	53/53 WL10	52/52 WL8
220310	53/53 WL10	53/53 WL9	52/52 WL6
220312	53/53 WL11	53/53 WL9	52/52 WL6
220314	53/53 WL11	53/53 WL8	51/52 WL6
220316	53/53 WL10	53/53 WL9	52/52 WL4
220317	53/53 WL9	52/53 WL9	52/52 WL6
220321	53/53 WL9	53/53 WL9	52/52 WL7
220323	53/53 WL9	53/53 WL9	52/52 WL8
220324	53/53 WL9	53/53 WL8	51/52 WL9
220328	53/53 WL6	53/53 WL7	52/52 WL9
220328	53/53 WL6	54/53 WL9	51/52 WL9
220330	52/53 WL7	55/53 WL8	52/52 WL8
220331	53/53 WL8	55/53 WL8	52/52 WL9
220404	52/53 WL7	55/53 WL7	52/52 WL5
220405	53/53 WL5	53/53 WL7	51/52 WL4
220406	52/53 WL4	53/53 WL6	52/52 WL3
220407	53/53 WL2	53/53 WL5	50/52 WL3
220408	51/53 WL1	53/53 WL2	52/52 WL1
220410	51/53 WL1	53/53 WL2	52/52
220412	51/53 WL1	52/53 WL2	51/52
