DATE	001	002	003	004	005	006	007	008	009	010
220204	0	0	0	0	0	0	0	0	0	N/A
220214	0	0	0	0	1	0	0	0	0	N/A
220215	0	0	0	0	2	0	0	0	0	N/A
220223	1	0	0	0	2	0	0	0	0	N/A
220225	1	0	0	0	2	0	1	0	0	N/A
220301	1	0	0	0	2	0	2	0	0	N/A
220303	2	0	0	0	2	1	2	0	0	N/A
220304	2	0	0	0	2	1	4	0	0	N/A
220306	2	0	0	1	2	1	4	0	0	N/A
220308	2	0	0	1	3	1	4	0	0	N/A
220317	2	0	0	1	3	2	4	0	0	N/A
220321	3	0	0	1	4	2	4	0	0	N/A
220323	4	0	0	1	4	2	4	0	0	N/A
220324	4	0	0	1	5	2	4	0	0	N/A
220328	4	0	0	1	5	3	4	0	0	N/A
220330	4	0	0	2	5	3	4	0	0	N/A
220331	4	0	0	2	5	3	4	0	0	0
