DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015
220204	N/A	0/3	0/3	0/3	0/3	0/3	0/4	0/4	0/4	0/4	0/4	0/4	0/4	0/4	N/A
220213	N/A	0/3	0/3	0/3	0/3	0/3	0/4	1/4	0/4	0/4	1/4	0/4	0/4	0/4	N/A
220214	N/A	0/3	0/3	0/3	0/3	0/3	0/4	2/4	0/4	0/4	1/4	0/4	0/4	0/4	N/A
220217	N/A	0/3	0/3	0/3	0/3	0/3	0/4	2/4	0/4	0/4	1/4	0/4	0/4	1/4	N/A
220301	N/A	0/3	0/3	0/3	0/3	0/3	0/4	2/4	1/4	0/4	1/4	0/4	0/4	1/4	N/A
220312	N/A	0/3	0/3	0/3	0/3	0/3	0/4	2/4	1/4	0/4	1/4	0/4	1/4	1/4	N/A
220323	N/A	0/3	0/3	0/3	0/3	0/3	0/4	2/4	2/4	0/4	1/4	0/4	1/4	1/4	N/A
220330	N/A	0/3	0/3	0/3	0/3	0/3	0/4	2/4	2/4	0/4	1/4	0/4	1/4	1/4	0/3
220331	N/A	0/3	0/3	0/3	0/3	0/3	0/4	2/4	2/4	0/4	1/4	0/4	1/4	1/4	1/3
220823	1/3	0/3	0/3	0/3	0/3	0/3	0/3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
