DATE	A00	B00
220204	0/20	0/20
220213	1/20	0/20
220216	4/20	1/20
220216	7/20	1/20
220217	8/20	1/20
220218	20/20	20/20
220221	20/20	20/20 WL1
220222	20/20	20/20 WL2
220223	20/20 WL1	20/20 WL2
220226	20/20 WL10	20/20 WL1
220227	20/20 WL11	20/20 WL1
220301	20/20 WL13	20/20 WL2
220303	19/20 WL13	19/20 WL2
220304	20/20 WL12	20/20 WL1
220305	20/20 WL13	20/20 WL1
220306	20/20 WL14	20/20 WL1
220314	20/20 WL14	20/20 WL2
220316	20/20 WL13	20/20 WL2
220317	19/20 WL13	20/20 WL2
220321	20/20 WL12	20/20 WL2
220323	20/20 WL11	19/20 WL2
220324	20/20 WL12	20/20 WL1
220328	20/20 WL13	20/20
220328	20/20 WL12	20/20
220330	20/20 WL11	20/20 WL4
220331	20/20 WL9	19/20 WL3
220404	20/20 WL7	17/20
220405	19/20 WL4	20/20
220406	20/20 WL2	20/20
220407	19/20 WL1	20/20
