DATE	A01	A02	A03	A04
220204	0/15	0/15	0/15	0/15
220212	1/15	0/15	1/15	2/15
220213	1/15	0/15	2/15	4/15
220214	3/15	1/15	2/15	4/15
220215	4/15	6/15	6/15	6/15
220216	8/15	8/15	8/15	7/15
220216	9/15	10/15	11/15	8/15
220217	10/15	10/15	11/15	8/15
220218	10/15	10/15	12/15	9/15
220221	10/15	11/15	13/15	9/15
220221	12/15	11/15	15/15	9/15
220222	13/15	11/15	15/15	9/15
220223	15/15 WL1	15/15	15/15 WL1	14/15
220224	15/15 WL1	15/15	15/15 WL2	15/15 WL1
220225	14/15 WL1	15/15	15/15 WL2	14/15 WL1
220226	15/15	15/15	15/15 WL1	15/15
220301	15/15	15/15	15/15 WL1	15/15 WL1
220302	15/15	15/15	15/15	15/15 WL2
220303	15/15	15/15	15/15	15/15 WL1
