DATE	A01	A02
220204	0/25	0/25
220212	1/25	0/25
220213	5/25	1/25
220214	7/25	1/25
220215	9/25	4/25
220216	11/25	7/25
220216	13/25	11/25
220217	15/25	12/25
220218	16/25	12/25
220219	17/25	12/25
220221	24/25	17/25
220222	24/25	18/25
220223	24/25 WL2	25/25 WL2
220224	25/25 WL2	25/25 WL3
220225	25/25 WL6	25/25 WL4
220227	24/25 WL6	25/25 WL4
220228	25/25 WL5	25/25 WL4
220305	25/25 WL5	25/25 WL3
220308	25/25 WL4	25/25 WL3
220310	25/25 WL4	25/25 WL1
220311	25/25 WL4	25/25
220312	25/25 WL3	25/25
220314	25/25 WL3	25/25 WL1
220324	25/25 WL3	25/25 WL2
