DATE	A01	A02	A03	A04	A05	A06
220204	0/20	0/20	0/20	0/20	0/20	0/20
220212	0/20	1/20	0/20	0/20	0/20	2/20
220213	0/20	4/20	3/20	1/20	0/20	3/20
220214	0/20	4/20	3/20	1/20	0/20	4/20
220215	1/20	4/20	6/20	2/20	0/20	8/20
220216	1/20	4/20	7/20	2/20	0/20	9/20
220216	1/20	5/20	13/20	2/20	1/20	13/20
220217	1/20	6/20	19/20	2/20	2/20	16/20
220218	7/20	20/20	20/20	14/20	20/20	20/20
220219	9/20	20/20	20/20	15/20	20/20	20/20
220221	14/20	20/20 WL1	20/20 WL1	18/20	20/20 WL1	20/20
220222	17/20	20/20 WL1	20/20 WL1	18/20	20/20 WL1	20/20
220223	20/20 WL2	20/20 WL2	20/20 WL3	20/20 WL2	20/20 WL2	20/20 WL2
220224	20/20 WL3	20/20 WL3	20/20 WL4	20/20 WL4	20/20 WL2	20/20 WL3
220225	20/20 WL6	20/20 WL4	20/20 WL5	20/20 WL5	20/20 WL5	20/20 WL4
220226	20/20 WL6	20/20 WL6	20/20 WL9	20/20 WL6	20/20 WL6	20/20 WL8
220227	20/20 WL6	20/20 WL6	20/20 WL9	20/20 WL6	20/20 WL6	20/20 WL9
220301	19/20 WL6	20/20 WL6	20/20 WL9	20/20 WL5	20/20 WL6	20/20 WL8
220302	20/20 WL5	20/20 WL6	20/20 WL9	20/20 WL5	20/20 WL5	20/20 WL7
220304	20/20 WL5	20/20 WL6	20/20 WL9	20/20 WL5	20/20 WL5	20/20 WL8
220305	20/20 WL5	20/20 WL6	20/20 WL9	20/20 WL4	20/20 WL5	20/20 WL7
220306	20/20 WL5	20/20 WL6	20/20 WL9	20/20 WL3	20/20 WL5	20/20 WL7
220307	20/20 WL5	20/20 WL5	20/20 WL9	20/20 WL5	20/20 WL5	20/20 WL7
