DATE	A00	B00
220204	0/65	0/25
220213	2/65	2/25
220214	3/65	2/25
220215	7/65	15/25
220216	11/65	25/25
220216	19/65	25/25
220217	21/65	25/25
220218	27/65	25/25
220221	29/65	25/25 WL2
220222	31/65	25/25 WL2
220223	38/65	25/25 WL3
220224	42/65	25/25 WL7
220225	51/65	25/25 WL8
220226	55/65	25/25 WL8
220228	55/65	25/20 WL7
220301	55/60	25/20 WL5
220305	56/60	25/20 WL5
220306	57/60	25/20 WL5
220307	57/60	25/20 WL4
220309	56/60	25/20 WL4
220310	57/60	25/20 WL4
220324	58/60	25/20 WL4
220328	62/62	25/20 WL4
220328	62/65 WL2	25/20 WL4
220330	62/65 WL3	27/0 WL3
