DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12
220204	0/27	0/28	0/28	0/28	0/28	0/28	0/26	N/A	N/A	N/A	N/A	N/A
220212	2/27	1/28	0/28	1/28	1/28	0/28	0/26	N/A	N/A	N/A	N/A	N/A
220213	2/27	1/28	2/28	2/28	3/28	0/28	0/26	N/A	N/A	N/A	N/A	N/A
220214	2/27	1/28	2/28	2/28	4/28	0/28	0/26	N/A	N/A	N/A	N/A	N/A
220215	2/27	2/28	5/28	2/28	6/28	0/28	0/26	N/A	N/A	N/A	N/A	N/A
220216	4/27	4/28	11/28	9/28	16/28	4/28	1/26	N/A	N/A	N/A	N/A	N/A
220216	5/27	8/28	21/28	11/28	25/28	5/28	2/26	N/A	N/A	N/A	N/A	N/A
220217	5/27	9/28	23/28	11/28	28/28	5/28	2/26	N/A	N/A	N/A	N/A	N/A
220218	6/27	12/28	26/28	12/28	28/28	8/28	2/26	N/A	N/A	N/A	N/A	N/A
220223	7/27	12/28	27/28	12/28	28/28	9/28	2/26	N/A	N/A	N/A	N/A	N/A
220224	7/27	12/28	28/28	13/28	28/28	9/28	2/26	N/A	N/A	N/A	N/A	N/A
220225	8/27	12/28	27/28	16/28	28/28	11/28	3/26	N/A	N/A	N/A	N/A	N/A
220226	9/27	15/28	27/28	16/28	28/28	11/28	3/26	N/A	N/A	N/A	N/A	N/A
220301	10/27	15/28	27/28	15/28	28/28	13/28	3/26	N/A	N/A	N/A	N/A	N/A
220304	N/A	21/28	28/28	15/28	28/28 WL1	14/28	N/A	N/A	N/A	N/A	N/A	N/A
220305	N/A	22/28	28/28	15/28	28/28 WL1	14/28	N/A	N/A	N/A	N/A	N/A	N/A
220306	N/A	23/28	28/28	15/28	28/28 WL1	14/28	N/A	N/A	N/A	N/A	N/A	N/A
220307	N/A	23/28	28/28	16/28	28/28 WL1	14/28	N/A	N/A	N/A	N/A	N/A	N/A
220308	N/A	23/28	28/28	16/28	28/28 WL1	13/28	N/A	N/A	N/A	N/A	N/A	N/A
220309	N/A	24/28	28/28 WL1	16/28	28/28 WL2	13/28	N/A	N/A	N/A	N/A	N/A	N/A
220310	N/A	25/28	28/28 WL1	15/28	28/28 WL2	14/28	N/A	N/A	N/A	N/A	N/A	N/A
220311	N/A	24/28	28/28 WL1	15/28	28/28 WL2	13/28	N/A	N/A	N/A	N/A	N/A	N/A
220314	N/A	25/28	28/28 WL1	15/28	28/28 WL2	13/28	N/A	N/A	N/A	N/A	N/A	N/A
220316	N/A	24/28	27/28	16/28	28/28 WL2	13/28	N/A	N/A	N/A	N/A	N/A	N/A
220321	N/A	28/28	27/28	17/28	28/28 WL2	12/28	N/A	N/A	N/A	N/A	N/A	N/A
220323	N/A	27/28	27/28	18/28	28/28 WL2	13/28	N/A	N/A	N/A	N/A	N/A	N/A
220324	N/A	27/28	27/28	18/28	28/28 WL2	14/28	N/A	N/A	N/A	N/A	N/A	N/A
220328	N/A	28/28	28/28	20/28	28/28 WL1	13/28	N/A	N/A	N/A	N/A	N/A	N/A
220328	N/A	28/28 WL1	28/28	22/28	27/28 WL1	15/28	N/A	N/A	N/A	N/A	N/A	N/A
220330	N/A	28/28 WL1	25/28	22/28	28/28	17/28	N/A	N/A	N/A	N/A	N/A	N/A
220331	N/A	28/28 WL1	26/28	22/28	28/28 WL1	18/28	N/A	N/A	N/A	N/A	N/A	N/A
220404	N/A	28/28 WL1	25/28	22/28	28/28 WL1	19/28	N/A	N/A	N/A	N/A	N/A	N/A
220405	N/A	28/28 WL1	25/28	23/28	28/28 WL1	19/28	N/A	N/A	N/A	N/A	N/A	N/A
220406	N/A	28/28	25/28	22/28	28/28 WL1	19/28	N/A	N/A	N/A	N/A	N/A	N/A
220407	N/A	28/28	25/28	21/28	28/28 WL1	20/28	N/A	N/A	N/A	N/A	N/A	N/A
220412	N/A	28/28	25/28	21/28	27/28 WL1	20/28	N/A	N/A	N/A	N/A	N/A	N/A
220417	27/28	10/28	0/0	0/0	0/0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220823	18/30	30/30	29/30 WL3	30/30	30/30	30/30 WL1	10/30	30/30	29/30	30/30 WL2	30/30	17/30
