DATE	A01	A02	A03	A04	A05	A06
220204	0/30	0/30	0/30	0/30	N/A	N/A
220213	15/30	0/30	2/30	1/30	N/A	N/A
220214	19/30	0/30	3/30	1/30	N/A	N/A
220215	19/30	0/30	4/30	1/30	N/A	N/A
220216	24/30	0/30	5/30	1/30	N/A	N/A
220216	30/30	0/30	5/30	1/30	N/A	N/A
220217	30/30	2/30	8/30	1/30	N/A	N/A
220218	30/30	30/30	30/30	30/30	N/A	N/A
220221	30/30	30/30	30/30	30/30 WL1	N/A	N/A
220222	30/30 WL1	30/30	30/30	30/30 WL1	N/A	N/A
220223	30/30 WL3	30/30	30/30	30/30 WL1	N/A	N/A
220224	30/30 WL1	30/30	30/30 WL1	30/30 WL1	N/A	N/A
220225	30/30 WL2	30/30 WL3	30/30 WL3	30/30 WL3	N/A	N/A
220226	30/30 WL16	30/30 WL14	30/30 WL13	30/30 WL14	N/A	N/A
220227	30/30 WL17	30/30 WL14	30/30 WL14	30/30 WL13	N/A	N/A
220228	30/30 WL17	30/30 WL14	30/30 WL15	30/30 WL14	N/A	N/A
220301	30/30 WL19	30/30 WL15	30/30 WL15	30/30 WL14	N/A	N/A
220302	30/30 WL18	30/30 WL15	30/30 WL15	30/30 WL14	N/A	N/A
220303	30/30 WL18	30/30 WL15	30/30 WL15	30/30 WL15	0/0	0/0
220304	32/32 WL6	32/32 WL6	32/32 WL5	32/32 WL3	18/0 WL2	16/0 WL1
220305	32/32 WL6	32/32 WL5	32/32 WL5	32/32 WL3	19/0 WL2	16/0 WL2
220307	32/32 WL6	32/32 WL5	32/32 WL4	32/32 WL3	20/0 WL2	16/0 WL2
220308	32/32 WL5	32/32 WL5	32/32 WL4	32/32 WL3	20/0 WL2	16/0 WL2
220310	32/32 WL5	32/32 WL5	32/32 WL3	32/32 WL3	21/0 WL2	16/0 WL2
220311	32/32 WL5	32/32 WL5	32/32 WL3	32/32 WL3	23/32	18/32
220312	32/32 WL5	32/32 WL5	32/32 WL3	32/32 WL2	25/32	17/32
220314	32/32 WL5	32/32 WL5	32/32 WL4	32/32 WL1	27/32	17/32
220316	32/32 WL5	32/32 WL5	32/32 WL2	32/32	32/32	16/32
220317	32/32 WL5	32/32 WL5	32/32 WL2	32/32	32/32	17/32
220321	32/32 WL5	32/32 WL5	32/32 WL1	32/32	32/32	20/32
