DATE	001	002	003	004	005	006	007	008	009
220204	0/10	0/10	0/10	N/A	N/A	N/A	N/A	N/A	N/A
220216	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10
220219	0/10	0/10	1/10	0/10	0/10	0/10	0/10	0/10	0/10
220220	0/10	0/10	2/10	0/10	0/10	0/10	0/10	0/10	0/10
220226	0/10	0/10	3/10	3/10	0/10	0/10	0/10	0/10	0/10
220301	0/10	0/10	4/10	4/10	0/10	0/10	0/10	0/10	0/10
220302	0/10	0/10	5/10	4/10	0/10	0/10	0/10	0/10	0/10
220303	1/10	0/10	5/10	4/10	0/10	1/10	0/10	0/10	0/10
220306	1/10	0/10	5/10	4/10	0/10	1/10	1/10	0/10	0/10
220307	1/10	0/10	6/10	4/10	0/10	1/10	2/10	0/10	0/10
220314	1/10	0/10	6/10	4/10	0/10	1/10	2/10	0/10	1/10
220321	1/10	1/10	6/10	4/10	0/10	1/10	2/10	0/10	1/10
