DATE	A01	A02	A03	A04	A05	A06
220204	0/35	0/35	0/35	0/35	N/A	N/A
220212	4/35	1/35	0/35	0/35	N/A	N/A
220213	15/35	1/35	0/35	1/35	N/A	N/A
220214	17/35	1/35	0/35	1/35	N/A	N/A
220215	35/35	4/35	4/35	2/35	N/A	N/A
220216	35/35	35/35	33/35	10/35	N/A	N/A
220216	35/35	35/35	35/35	35/35	N/A	N/A
220221	35/35 WL3	35/35 WL2	35/35 WL1	35/35 WL1	N/A	N/A
220223	35/35 WL8	35/35 WL10	35/35 WL10	35/35 WL8	N/A	N/A
220224	35/35 WL13	35/35 WL12	34/35 WL12	35/35 WL11	N/A	N/A
220225	35/35 WL20	35/35 WL18	35/35 WL19	35/35 WL19	N/A	N/A
220226	35/35 WL20	35/35 WL19	35/35 WL20	35/35 WL20	N/A	N/A
220227	35/35 WL21	35/35 WL20	35/35 WL19	35/35 WL20	N/A	N/A
220301	35/35 WL23	35/35 WL21	35/35 WL20	35/35 WL20	N/A	N/A
220302	35/35 WL22	35/35 WL21	35/35 WL20	35/35 WL21	N/A	N/A
220303	35/35 WL21	35/35 WL20	35/35 WL19	35/35 WL19	0/0 WL6	0/0 WL7
220304	35/35 WL13	35/35 WL4	35/35 WL6	35/35 WL5	23/0 WL9	28/0 WL9
220305	35/35 WL10	35/35 WL4	35/35 WL5	34/35 WL5	25/0 WL9	30/0 WL9
220306	35/35 WL10	35/35 WL4	35/35 WL4	35/35 WL4	25/0 WL9	30/0 WL10
220307	35/35 WL10	35/35 WL4	35/35 WL4	35/35 WL4	25/0 WL8	31/0 WL10
