DATE	A01	A02	A03
220204	0/24	0/24	N/A
220212	0/24	2/24	N/A
220213	7/24	5/24	N/A
220215	11/24	8/24	N/A
220216	16/24	8/24	N/A
220216	17/24	10/24	N/A
220217	19/24	10/24	N/A
220218	23/24	10/24	N/A
220221	24/24	15/24	N/A
220222	24/24	18/24	N/A
220223	24/24 WL5	23/24 WL5	N/A
220224	24/24 WL6	24/24 WL4	N/A
220225	24/24 WL8	24/24 WL4	N/A
220226	24/24 WL8	24/24 WL3	N/A
220227	24/24 WL8	24/24 WL4	N/A
220301	24/24 WL8	24/24 WL5	N/A
220303	24/24 WL8	24/24 WL6	N/A
220304	24/24 WL8	24/24 WL7	N/A
220305	24/24 WL7	24/24 WL7	N/A
220307	24/24 WL7	24/24 WL6	N/A
220321	23/24 WL7	24/24 WL6	N/A
220323	22/24 WL5	24/24 WL6	N/A
220324	24/24 WL4	24/24 WL6	N/A
220328	24/24 WL5	24/24 WL3	N/A
220328	24/24 WL6	24/24 WL4	N/A
220330	24/24 WL5	21/24 WL5	N/A
220331	24/24 WL5	24/24 WL1	N/A
220404	24/24 WL1	24/24	N/A
220405	24/24 WL2	24/24 WL1	N/A
220406	24/24	24/24 WL1	N/A
220407	24/24	24/24	N/A
220823	27/32	11/32	9/32
