DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04
220204	0/37	0/36	0/36	0/37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220212	0/37	1/36	0/36	0/37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220213	1/37	5/36	3/36	1/37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220214	1/37	5/36	3/36	0/37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220215	4/37	5/36	4/36	1/37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220216	6/37	6/36	4/36	1/37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220216	8/37	6/36	7/36	2/37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220217	9/37	6/36	8/36	2/37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220218	17/37	7/36	11/36	4/37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220219	17/37	7/36	13/36	4/37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220221	20/37	9/36	17/36	4/37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220223	26/37	13/36	20/36	9/37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220224	30/37	18/36	24/36	11/37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220225	37/37 WL1	33/36	35/36 WL2	24/37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220226	37/37 WL5	36/36 WL7	36/36 WL6	37/37 WL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220227	37/37 WL6	36/36 WL7	36/36 WL6	37/37 WL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220228	37/37 WL7	36/36 WL7	36/36 WL6	37/37 WL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220301	37/37 WL6	36/36 WL7	36/36 WL6	37/37 WL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220302	36/37 WL6	36/36 WL7	36/36 WL6	37/37 WL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220303	37/37 WL4	36/36 WL7	36/36 WL6	37/37 WL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220304	37/37 WL4	36/36 WL6	36/36 WL5	37/37 WL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220308	37/37 WL4	36/36 WL6	36/36 WL5	37/37 WL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220310	37/37 WL3	36/36 WL6	36/36 WL5	37/37 WL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220311	37/37 WL4	36/36 WL6	36/36 WL4	37/37 WL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220312	37/37 WL4	36/36 WL6	36/36 WL4	37/37 WL3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220321	37/37 WL3	36/36 WL6	36/36 WL4	37/37 WL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220323	37/37 WL4	36/36 WL5	36/36 WL4	37/37 WL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220324	37/37 WL5	36/36 WL5	36/36 WL5	37/37 WL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220328	37/37 WL4	36/36 WL4	36/36 WL5	37/37 WL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220328	37/37 WL5	36/36 WL4	36/36 WL6	37/37 WL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220330	36/37 WL6	36/36 WL6	34/36 WL6	37/37 WL6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220331	37/37 WL4	36/36 WL6	36/36 WL4	36/37 WL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220404	37/37 WL4	36/36 WL6	36/36 WL3	37/37 WL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220405	37/37 WL3	36/36 WL5	36/36 WL4	37/37 WL3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220406	37/37 WL4	36/36 WL4	36/36 WL4	37/37 WL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220407	37/37 WL4	36/36 WL4	36/36 WL4	37/37 WL1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220408	37/37 WL3	36/36 WL3	35/36 WL2	37/37 WL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220417	37/37 WL3	35/36 WL3	34/36 WL2	37/37 WL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220417	20/50	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220823	32/32 WL5	32/32 WL3	32/32 WL3	32/32 WL4	32/32 WL4	32/32 WL3	32/32 WL4	31/32 WL3	0/0	0/0	0/30	0/30	32/32	31/32	32/32	29/32
