DATE	A01	A02	A03	A04
220204	0/40	0/40	0/40	0/40
220212	0/40	1/40	0/40	5/40
220213	2/40	4/40	2/40	15/40
220214	6/40	5/40	3/40	18/40
220215	26/40	8/40	16/40	40/40
220216	40/40	14/40	19/40	39/40
220216	40/40	21/40	20/40	40/40
220217	40/40	21/40	22/40	40/40
220218	40/40	22/40	21/40	40/40
220221	40/40	29/40	22/40	40/40 WL1
220222	40/40 WL1	30/40	23/40	40/40 WL1
220223	39/40 WL2	40/40 WL3	39/40 WL2	40/40 WL2
220224	40/40 WL4	40/40 WL5	40/40 WL4	41/40 WL3
220225	40/40 WL5	40/40 WL5	40/40 WL6	41/40 WL6
220227	40/40 WL6	40/40 WL5	40/40 WL6	41/40 WL6
220301	40/40 WL6	40/40 WL6	40/40 WL6	41/40 WL5
220303	40/40 WL6	40/40 WL6	40/40 WL7	41/40 WL6
220305	40/40 WL7	40/40 WL6	40/40 WL6	41/40 WL5
220308	40/40 WL6	40/40 WL6	40/40 WL6	41/40 WL6
220311	40/40 WL6	40/40 WL6	40/40 WL7	41/40 WL7
220316	40/40 WL6	40/40 WL6	40/40 WL6	41/40 WL7
220317	40/40 WL7	40/40 WL6	40/40 WL6	41/40 WL7
220321	40/40 WL7	40/40 WL6	40/40 WL5	41/40 WL7
220323	40/40 WL7	40/40 WL6	40/40 WL6	41/40 WL7
220328	40/40 WL4	40/40 WL5	40/40 WL7	41/40 WL7
220328	40/40 WL6	40/40 WL6	39/40 WL7	41/40 WL7
220330	40/40 WL6	38/40 WL5	39/40 WL6	40/40 WL7
220331	40/40 WL6	40/40 WL1	40/40 WL6	40/40 WL5
220404	40/40 WL2	41/40 WL1	40/40 WL1	41/40 WL2
220405	40/40 WL1	41/40	40/40 WL1	41/40 WL1
220406	40/40 WL1	40/40	40/40 WL1	40/40 WL1
220408	40/40 WL1	41/40	40/40 WL1	40/40 WL1
220412	39/40	41/40	40/40 WL1	40/40 WL1
