DATE	001	002	A00	B00	C00	D00
220204	0/28	0/28	N/A	N/A	N/A	N/A
220212	0/28	5/28	N/A	N/A	N/A	N/A
220213	6/28	8/28	N/A	N/A	N/A	N/A
220215	7/28	11/28	N/A	N/A	N/A	N/A
220216	12/28	19/28	N/A	N/A	N/A	N/A
220216	17/28	22/28	N/A	N/A	N/A	N/A
220218	25/28	28/28	N/A	N/A	N/A	N/A
220221	25/28	28/28 WL1	N/A	N/A	N/A	N/A
220221	26/28	28/28 WL3	N/A	N/A	N/A	N/A
220222	26/28	28/28 WL4	N/A	N/A	N/A	N/A
220223	28/28 WL1	28/28 WL6	N/A	N/A	N/A	N/A
220224	28/28 WL6	28/28 WL8	N/A	N/A	N/A	N/A
220225	28/28 WL9	28/28 WL9	N/A	N/A	N/A	N/A
220226	28/28 WL9	28/28 WL12	N/A	N/A	N/A	N/A
220228	28/28 WL10	28/28 WL12	N/A	N/A	N/A	N/A
220301	27/28 WL11	28/28 WL12	N/A	N/A	N/A	N/A
220302	28/28 WL9	27/28 WL12	N/A	N/A	N/A	N/A
220303	28/28 WL10	28/28 WL10	N/A	N/A	N/A	N/A
220304	28/28 WL10	28/28 WL9	N/A	N/A	N/A	N/A
220305	28/28 WL10	28/28 WL7	N/A	N/A	N/A	N/A
220307	28/28 WL11	28/28 WL7	N/A	N/A	N/A	N/A
220308	28/28 WL11	28/28 WL8	N/A	N/A	N/A	N/A
220310	28/28 WL11	27/28 WL7	N/A	N/A	N/A	N/A
220311	28/28 WL11	28/28 WL6	N/A	N/A	N/A	N/A
220312	28/28 WL11	28/28 WL7	N/A	N/A	N/A	N/A
220316	28/28 WL9	27/28 WL6	N/A	N/A	N/A	N/A
220317	28/28 WL9	28/28 WL5	N/A	N/A	N/A	N/A
220321	28/28 WL8	28/28 WL5	N/A	N/A	N/A	N/A
220323	28/28 WL6	28/28 WL4	N/A	N/A	N/A	N/A
220324	28/28 WL4	28/28 WL2	N/A	N/A	N/A	N/A
220328	28/28 WL2	27/28 WL1	N/A	N/A	N/A	N/A
220328	28/28 WL3	26/28 WL2	N/A	N/A	N/A	N/A
220330	23/28 WL3	23/28 WL3	N/A	N/A	N/A	N/A
220331	26/28	26/28	N/A	N/A	N/A	N/A
220404	26/28	24/28	N/A	N/A	N/A	N/A
220405	25/28	23/28	N/A	N/A	N/A	N/A
220406	25/28	24/28	N/A	N/A	N/A	N/A
220407	24/28	24/28	N/A	N/A	N/A	N/A
220408	24/28	22/28	N/A	N/A	N/A	N/A
220410	23/28	22/28	N/A	N/A	N/A	N/A
220412	23/28	20/28	N/A	N/A	N/A	N/A
220417	21/28	19/28	N/A	N/A	N/A	N/A
220823	N/A	N/A	28/28 WL5	27/28 WL5	28/28 WL7	28/28 WL5
