DATE	A01	A02	A03	A04
220204	0/35	0/35	0/35	0/35
220213	1/35	0/35	3/35	0/35
220215	2/35	0/35	3/35	0/35
220216	4/35	1/35	4/35	0/35
220216	6/35	4/30	5/35	1/35
220217	10/35	6/30	5/35	2/35
220218	24/35	16/30	13/35	6/35
220219	24/35	17/30	13/35	6/35
220221	24/35	18/30	15/35	6/35
220224	25/35	18/30	15/35	6/35
220225	29/35	23/30	26/35	7/35
220226	35/35	30/30	35/35	9/35
220303	34/35	30/30	35/35	9/35
220304	35/35	30/30	35/35	8/35
220306	35/35	30/30	35/35	9/35
220312	35/35	30/30	34/35	9/35
220316	32/35	29/30	35/35	9/35
220317	32/35	29/30	34/35	9/35
220321	32/35	30/30	34/35	9/35
220324	35/35	33/35	35/35 WL1	1/0
220328	35/35 WL1	35/35 WL1	35/35 WL1	N/A
220328	35/35 WL1	35/35 WL1	35/35 WL2	N/A
220330	35/38 WL3	34/35 WL1	35/37 WL2	N/A
220331	37/38	35/35	37/37	N/A
220404	38/38	34/35	37/37	N/A
220405	38/38	34/35	36/37	N/A
