DATE	A01	A02	A03	A04
220204	0/10	0/10	0/10	0/10
220212	1/10	0/10	0/10	0/10
220213	1/10	0/10	2/10	1/10
220214	1/10	0/10	3/10	1/10
220215	4/10	0/10	4/10	1/10
220216	4/10	1/10	4/10	2/10
220216	5/10	2/10	4/10	3/10
220218	6/10	4/10	6/10	6/10
220221	8/10	6/10	10/10	8/10
220223	8/10	9/10	10/10	10/10
220224	8/10	10/10	10/10	10/10
220225	10/10 WL1	10/10	10/10 WL1	10/10
220226	10/10 WL1	10/10 WL1	10/10 WL2	10/10 WL3
220228	10/10 WL2	10/10 WL1	10/10 WL2	10/10 WL3
220301	10/10 WL3	10/10 WL2	10/10 WL3	10/10 WL3
220302	10/10 WL3	10/10 WL3	10/10 WL4	10/10 WL3
220303	10/10 WL2	10/10 WL2	11/10 WL3	10/10 WL3
220306	10/10 WL2	10/10 WL2	11/10 WL4	10/10 WL3
220308	10/10 WL1	10/10 WL2	11/10 WL4	10/10 WL3
220309	10/10 WL1	10/10 WL2	11/10 WL4	10/10 WL2
220310	10/10 WL2	10/10 WL2	11/10 WL4	10/10 WL2
220311	10/10 WL2	10/10 WL2	11/10 WL3	10/10 WL2
220314	10/10 WL2	10/10 WL2	11/10 WL2	10/10 WL2
