DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024
220212	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220214	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220218	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220223	1	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220302	1	1	1	0	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220303	1	1	1	0	1	0	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220304	1	1	1	0	2	0	1	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220308	1	1	1	0	2	0	1	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220309	1	1	1	0	2	0	1	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220311	1	1	1	0	2	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220323	1	1	1	0	2	0	1	0	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220324	1	1	1	0	2	0	1	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220330	1	1	1	2	2	0	1	2	1	1	0	1	1	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220331	1	1	2	2	2	1	1	2	1	1	1	1	1	1	0	0	0	0	0	0	N/A	N/A	N/A	N/A
220404	1	1	2	2	3	2	2	3	1	1	1	1	1	1	1	2	2	0	0	0	0	0	N/A	N/A
220405	1	1	2	2	4	2	2	3	1	1	1	1	1	1	1	2	2	1	0	0	0	0	N/A	N/A
220406	1	1	2	2	4	2	2	3	1	1	1	1	1	1	1	2	2	3	2	1	1	0	N/A	N/A
220407	1	1	2	3	4	2	2	3	1	1	1	1	1	1	1	2	3	3	2	1	1	0	0	N/A
220408	1	1	2	3	4	2	2	4	1	1	1	1	1	1	1	3	3	3	2	1	1	1	0	N/A
220412	1	1	2	3	4	2	2	4	1	1	1	1	1	1	1	3	3	4	2	1	1	1	0	N/A
220417	1	1	2	3	4	2	2	4	1	1	1	1	1	1	1	3	3	5	2	1	1	1	1	0
