DATE	A01	A02	A03	A04	A05	B01
220204	0/75	0/75	0/75	0/75	0/50	N/A
220212	5/75	0/75	0/75	0/75	0/50	N/A
220213	14/75	2/75	0/75	1/75	0/50	N/A
220214	15/75	3/75	0/75	1/75	0/50	N/A
220215	22/75	6/75	1/75	3/75	1/50	N/A
220216	71/75	12/75	8/75	9/75	5/50	N/A
220216	75/75	38/75	13/75	38/75	13/50	N/A
220217	75/75	49/75	16/75	38/75	16/50	N/A
220218	75/75	64/75	20/75	41/75	16/50	N/A
220219	75/75	65/75	20/75	41/75	16/50	N/A
220221	75/75	65/75	20/75	41/75	18/50	N/A
220221	75/75 WL1	67/75	20/75	44/75	18/50	N/A
220222	75/75 WL1	68/75	20/75	44/75	18/50	N/A
220223	75/75	75/75	22/75	49/75	21/50	N/A
220224	75/75 WL3	73/75 WL1	28/75	62/75	25/50	N/A
220225	75/75 WL4	75/75	45/75	74/75	30/50	N/A
220226	75/75 WL2	75/75	49/75	75/75	31/50	N/A
220227	75/75 WL2	75/75	49/75	75/75	32/50	N/A
220228	75/75 WL2	75/75	51/75	75/75	32/50	N/A
220301	74/75 WL1	75/75	50/75	75/75	35/50	N/A
220302	75/75	75/75 WL1	50/75	75/75	35/50	N/A
220304	75/75	75/75 WL1	49/75	75/75	36/50	N/A
220306	75/75 WL1	75/75 WL1	49/75	75/75	37/50	N/A
220307	75/75 WL1	75/75 WL1	48/75	75/75	38/50	N/A
220308	75/75 WL1	75/75 WL1	48/75	75/75	39/50	N/A
220309	75/75 WL1	75/75 WL1	48/75	75/75	38/50	N/A
220310	75/75	75/75 WL1	49/75	74/75	38/50	N/A
220311	74/75	75/75 WL1	49/75	74/75	37/50	N/A
220312	75/75	75/75 WL1	49/75	73/75	37/50	N/A
220314	75/75	75/75	49/75	73/75	37/50	N/A
220316	75/75	75/75	49/75	73/75	36/50	N/A
220317	74/75	75/75	49/75	73/75	36/50	N/A
220321	73/75	73/75	48/75	71/75	38/50	N/A
220323	73/75	73/75	49/75	71/75	37/50	N/A
220324	74/75	71/75	47/75	71/75	39/50	N/A
220328	75/75	74/75	47/75	72/75	36/50	N/A
220328	75/75 WL1	75/75	46/75	73/75	38/50	N/A
220330	74/75 WL1	75/75	45/75	73/75	40/50	N/A
220331	75/75	75/75	46/75	73/75	42/50	N/A
220404	75/75	73/75	48/75	72/75	42/50	N/A
220405	75/75	73/75	50/75	72/75	41/50	N/A
220406	75/75	74/75	51/75	72/75	41/50	N/A
220407	75/75	74/75	50/75	72/75	41/50	N/A
220408	74/75	73/75	50/75	72/75	41/50	N/A
220417	74/75	73/75	49/75	72/75	41/50	N/A
220417	60/60 WL13	N/A	N/A	N/A	N/A	N/A
220417	60/60 WL59	N/A	N/A	N/A	N/A	N/A
220823	50/50 WL7	50/56 WL6	30/50 WL6	20/56 WL7	N/A	49/49 WL12
