DATE	A01	A02
220204	0/35	0/35
220213	4/35	0/35
220214	5/35	0/35
220215	13/35	0/35
220216	21/35	2/35
220216	22/35	2/35
220217	23/35	2/35
220218	24/35	2/35
220221	25/35	2/35
220222	27/35	2/35
220223	32/35	5/35
220224	34/35	6/35
220225	35/35	8/35
220301	35/35	9/35
220304	34/35	10/35
220305	34/35	9/35
220307	33/35	9/35
220310	32/35	9/35
220311	30/35	9/35
220316	30/35	10/35
220317	29/35	9/35
220321	28/35	9/35
220323	28/35	10/35
220328	27/35	10/35
220328	27/35	13/35
220330	30/35	13/35
220404	30/35	14/35
220405	29/35	14/35
