DATE	A01	A02	A03	A04	A05	A06	A07	B01	B02	B03	B04	B05	B06	B07
220204	0/35	0/35	0/35	0/35	0/35	0/35	0/35	0/35	0/35	0/35	0/35	0/35	0/35	0/35
220212	1/35	0/35	0/35	0/35	2/35	0/35	0/35	0/35	1/35	2/35	0/35	0/35	0/35	0/35
220213	3/35	1/35	0/35	1/35	2/35	0/35	2/35	2/35	1/35	4/35	1/35	1/35	1/35	0/35
220214	3/35	1/35	0/35	1/35	2/35	0/35	2/35	2/35	1/35	4/35	1/35	1/35	2/35	0/35
220215	5/35	1/35	0/35	1/35	2/35	0/35	2/35	2/35	1/35	4/35	1/35	1/35	2/35	0/35
220216	6/35	1/35	0/35	3/35	3/35	0/35	2/35	3/35	4/35	5/35	1/35	1/35	2/35	0/35
220216	7/35	2/35	1/35	4/35	5/35	1/35	4/35	5/35	5/35	9/35	1/35	1/35	3/35	0/35
220217	8/35	2/35	1/35	4/35	6/35	1/35	4/35	6/35	7/35	9/35	1/35	2/35	4/35	0/35
220218	15/35	6/35	12/35	7/35	11/35	5/35	4/35	14/35	8/35	19/35	5/35	5/35	7/35	6/35
220219	15/35	6/35	12/35	7/35	11/35	5/35	4/35	14/35	9/35	19/35	4/35	5/35	8/35	6/35
220220	15/35	6/35	12/35	7/35	11/35	5/35	4/35	14/35	9/35	20/35	4/35	5/35	7/35	6/35
220221	15/35	7/35	14/35	9/35	11/35	5/35	4/35	16/35	11/35	23/35	8/35	4/35	10/35	8/35
220222	16/35	7/35	13/35	9/35	12/35	5/35	5/35	16/35	11/35	23/35	8/35	5/35	10/35	8/35
220223	17/35	7/35	14/35	10/35	13/35	8/35	5/35	17/35	10/35	27/35	10/35	7/35	9/35	13/35
220224	15/35	8/35	15/35	12/35	14/35	10/35	6/35	17/35	10/35	28/35	10/35	10/35	9/35	15/35
220225	27/35	9/35	18/35	16/35	17/35	11/35	8/35	24/35	12/35	35/35	11/35	13/35	16/35	18/35
220226	35/35 WL1	17/35	24/35	21/35	20/35	16/35	12/35	31/35	17/35	35/35 WL2	30/35	25/35	23/35	28/35
220227	35/35 WL1	18/35	24/35	21/35	20/35	16/35	12/35	32/35	17/35	35/35 WL2	30/35	27/35	23/35	31/35
220228	35/35 WL1	18/35	25/35	21/35	20/35	15/35	12/35	32/35	18/35	35/35 WL2	32/35	28/35	23/35	31/35
220301	35/35 WL1	20/35	26/35	20/35	23/35	16/35	12/35	32/35	18/35	35/35 WL2	32/35	28/35	23/35	32/35
220302	35/35 WL1	21/35	28/35	20/35	24/35	16/35	12/35	31/35	18/35	35/35 WL2	32/35	27/35	23/35	32/35
220303	35/35 WL1	21/35	30/35	20/35	25/35	16/35	12/35	31/35	18/35	35/35 WL2	32/35	28/35	23/35	32/35
220304	35/35 WL1	21/35	30/35	20/35	24/35	17/35	12/35	32/35	18/35	35/35 WL1	34/35	28/35	23/35	32/35
220305	35/35 WL1	22/35	31/35	20/35	23/35	18/35	12/35	32/35	18/35	35/35 WL1	34/35	27/35	23/35	31/35
220306	35/35 WL1	21/35	31/35	20/35	23/35	18/35	12/35	32/35	18/35	35/35 WL1	34/35	27/35	24/35	31/35
220307	35/35 WL1	21/35	31/35	20/35	23/35	18/35	13/35	32/35	18/35	35/35 WL1	35/35	27/35	24/35	33/35
220308	35/35	21/35	32/35	20/35	23/35	17/35	13/35	32/35	20/35	35/35	35/35	28/35	25/35	33/35
220309	35/35	21/35	32/35	20/35	22/35	17/35	13/35	33/35	20/35	35/35	35/35	28/35	25/35	32/35
220310	35/35	21/35	31/35	19/35	22/35	17/35	13/35	33/35	19/35	35/35	35/35	28/35	26/35	32/35
220311	35/35	21/35	30/35	19/35	23/35	17/35	13/35	32/35	19/35	35/35	35/35	29/35	26/35	33/35
220312	34/35	21/35	30/35	19/35	24/35	17/35	13/35	34/35	19/35	35/35	35/35	29/35	26/35	33/35
220314	34/35	23/35	29/35	19/35	25/35	17/35	13/35	34/35	19/35	35/35	35/35	29/35	26/35	33/35
220316	34/35	24/35	30/35	18/35	26/35	17/35	13/35	33/35	19/35	35/35	35/35	30/35	26/35	34/35
220317	35/35	24/35	30/35	18/35	26/35	17/35	13/35	34/35	19/35	35/35	34/35	30/35	27/35	35/35
220321	35/35	25/35	30/35	19/35	26/35	17/35	12/35	35/35	19/35	35/35	34/35	31/35	27/35	34/35
220323	35/35	26/35	30/35	20/35	26/35	18/35	12/35	35/35	19/35	35/35	35/35	32/35	29/35	33/35
220324	35/35	25/35	31/35	20/35	27/35	18/35	12/35	35/35	22/35	35/35	34/35	33/35	30/35	34/35
220328	34/35	26/35	31/35	22/35	27/35	20/35	15/35	34/35	25/35	35/35	33/35	35/35	32/35	31/35
220328	35/35 WL1	28/35	32/35	27/35	30/35	20/35	15/35	34/35	24/35	35/35	35/35	35/35	35/35	33/35
220330	35/35	28/35	33/35 WL1	29/35	35/35	20/35	15/35	34/35	27/35	34/35	35/35	35/35	35/35	33/35
220331	35/35	27/35	30/35	28/35	33/35	24/35	16/35	35/35	27/35	35/35	34/35	34/35	35/35	34/35
220404	35/35 WL1	30/35	34/35	31/35	34/35	24/35	16/35	34/35	29/35	35/35	33/35	35/35	35/35	34/35
220405	35/35	31/35	34/35	31/35	32/35	24/35	17/35	35/35	29/35	35/35	33/35	35/35	35/35	34/35
