DATE	A00	B00	C00
220204	0/25	0/25	0/0
220212	0/20	0/20	0/20
220213	2/20	0/20	1/20
220214	2/20	2/20	1/20
220215	5/20	3/20	1/20
220216	10/20	5/20	1/20
220216	12/20	5/20	1/20
220219	12/20	6/20	1/20
220222	13/20	6/20	1/20
220223	19/20	7/20	2/20
220224	20/20	11/20	5/20
220225	20/20 WL1	13/20	7/20
220226	20/20	13/20	9/20
220228	20/20 WL1	14/20	10/20
220301	19/20 WL2	16/20	9/20
220302	20/20 WL1	16/20	9/20
220310	19/20 WL1	17/20	9/20
220312	19/20 WL1	18/20	9/20
220316	19/20 WL1	18/20	10/20
220317	19/20 WL1	19/20	10/20
220323	20/20 WL2	20/20	11/20
220328	20/20 WL2	20/20	12/20
220328	20/20 WL2	19/20 WL1	12/20
220330	19/20 WL2	19/20	15/20
220331	20/19 WL1	18/20	16/20
220404	19/19	17/20	15/20
220405	19/19	17/20	14/20
220406	18/19	17/20	14/20
220407	18/19	17/20	13/20
220408	18/0	17/0	13/0
