DATE	001	002	003	004	005	006	007	008	009	010	011	012
220204	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220218	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220223	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220224	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220302	1	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220303	1	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220312	1	1	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220316	1	1	1	1	2	1	N/A	N/A	N/A	N/A	N/A	N/A
220321	1	1	1	1	2	1	1	N/A	N/A	N/A	N/A	N/A
220324	1	1	1	1	2	1	1	0	N/A	N/A	N/A	N/A
220330	0	1	1	1	2	1	1	0	0	N/A	N/A	N/A
220331	0	1	1	1	2	1	1	1	0	N/A	N/A	N/A
220404	0	2	1	1	2	1	1	1	0	0	0	0
