DATE	A01	A02	A03	B01	B02
220204	0/70	0/70	0/68	N/A	N/A
220212	1/70	0/70	1/68	N/A	N/A
220213	2/70	1/70	1/68	N/A	N/A
220214	4/70	1/70	1/68	N/A	N/A
220215	7/70	4/70	2/68	N/A	N/A
220216	13/70	10/70	5/68	N/A	N/A
220216	30/70	14/70	6/68	N/A	N/A
220217	34/70	16/70	7/68	N/A	N/A
220218	41/70	24/70	7/68	N/A	N/A
220221	45/70	26/70	7/68	N/A	N/A
220222	45/70	26/70	8/68	N/A	N/A
220223	50/70	33/70	9/68	N/A	N/A
220224	54/70	38/70	12/68	N/A	N/A
220225	70/70 WL1	48/70	22/68	N/A	N/A
220226	70/70 WL1	57/70	32/68	N/A	N/A
220227	70/70	58/70	32/68	N/A	N/A
220228	70/70	60/70	34/68	N/A	N/A
220301	70/70 WL1	61/70	34/68	N/A	N/A
220302	69/70 WL1	63/70	32/68	N/A	N/A
220303	68/70	63/70	34/68	N/A	N/A
220304	68/70	61/70	34/68	N/A	N/A
220305	69/70	60/70	34/68	N/A	N/A
220306	70/70	60/70	34/68	N/A	N/A
220308	70/70	59/70	34/68	N/A	N/A
220309	70/70	60/70	35/68	N/A	N/A
220312	70/70	61/70	33/68	N/A	N/A
220314	69/70	60/70	33/68	N/A	N/A
220316	70/70	60/70	33/68	N/A	N/A
220317	69/70	61/70	33/68	N/A	N/A
220321	70/70	64/70	34/68	N/A	N/A
220323	70/70	69/70	35/68	N/A	N/A
220324	70/70	70/70	36/68	N/A	N/A
220328	69/70	69/70	38/68	N/A	N/A
220328	70/70 WL1	70/70	43/68	N/A	N/A
220330	70/70	70/70	58/68	N/A	N/A
220331	70/70	69/70	67/68	N/A	N/A
220404	70/70 WL1	70/70	68/68	N/A	N/A
220405	69/70	69/70	68/68	N/A	N/A
220406	70/70 WL1	70/70 WL1	68/68 WL1	N/A	N/A
220408	70/70	70/70 WL1	68/68	N/A	N/A
220410	70/70	70/70 WL1	67/68	N/A	N/A
220417	69/70	70/70 WL1	65/68	N/A	N/A
220417	29/40	N/A	N/A	N/A	N/A
220823	28/55 WL13	36/55 WL14	N/A	30/55 WL12	26/55 WL11
