DATE	001	002	003	004	005	006	007	008
220204	0/50	0/50	N/A	N/A	N/A	N/A	N/A	N/A
220218	0/50	0/50	0/50	N/A	N/A	N/A	N/A	N/A
220321	8/50	0/50	1/50	N/A	N/A	N/A	N/A	N/A
220330	8/50	0/50	2/50	N/A	N/A	N/A	N/A	N/A
220331	7/50	0/50	2/50	N/A	N/A	N/A	N/A	N/A
220404	7/50	0/50	2/50	1	0	0	N/A	N/A
220406	7/50	0/50	2/50	1	1	0	N/A	N/A
220407	7/50	0/50	2/50	1	1	1	N/A	N/A
220408	1/50	0/50	2/50	1	1	1	N/A	N/A
220412	1/50	0/50	1/50	1	1	1	N/A	N/A
220417	1/50	0/50	1/50	1	1	1	0	0
220625	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220823	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
