DATE	A00	B00
220204	0/35	0/65
220212	4/35	1/65
220213	12/35	6/65
220214	13/35	6/65
220215	22/35	8/65
220216	35/35	37/65
220216	35/35	65/65
220218	36/35	65/65
220221	36/45	65/65
220221	44/45	64/65 WL3
220222	45/45	66/60 WL2
220223	50/48 WL4	66/60 WL3
220224	60/48 WL6	66/60 WL6
220225	63/60 WL13	66/60 WL12
220226	63/60 WL15	67/60 WL13
220227	63/60 WL15	67/60 WL12
220228	66/60 WL11	69/60 WL9
220301	67/60 WL11	70/60 WL7
220302	70/60 WL8	70/60 WL7
220304	70/60 WL8	70/60 WL8
220308	70/60 WL8	70/60 WL7
220310	70/60 WL8	70/60 WL6
220317	70/60 WL7	70/60 WL6
220321	70/60 WL6	70/60 WL6
220328	69/60 WL6	70/60 WL6
