DATE	A01	A02	B01	B02	C01	C02	C03	C04
220204	0/24	0/24	0/24	0/24	0/24	0/24	0/24	0/24
220212	2/24	0/24	6/24	1/24	0/24	0/24	3/24	0/24
220213	14/24	5/24	24/24	8/24	2/24	1/24	4/24	1/24
220214	16/24	5/24	24/24	21/24	3/24	1/24	5/24	2/24
220215	24/24	24/24	24/24	24/24	24/24	24/24	24/24	24/24
220221	24/24	24/24	24/24	24/24	24/24 WL1	24/24	24/24	24/24
220221	24/24 WL1	24/24	24/24 WL1	24/24	24/24 WL1	24/24	24/24	24/24
220222	24/24 WL1	24/24 WL1	24/24 WL1	24/24	24/24 WL1	24/24	24/24 WL1	24/24 WL1
220223	24/24 WL9	24/24 WL7	24/24 WL12	24/24 WL11	24/24 WL6	24/24 WL5	24/24 WL5	24/24 WL5
220224	24/24 WL11	24/24 WL9	24/24 WL12	24/24 WL14	24/24 WL6	24/24 WL7	24/24 WL6	24/24 WL6
220225	24/24 WL11	24/24 WL9	24/24 WL13	24/24 WL13	24/24 WL6	24/24 WL7	24/24 WL6	24/24 WL6
220226	24/24 WL10	24/24 WL9	24/24 WL13	24/24 WL13	24/24 WL6	24/24 WL7	24/24 WL7	24/24 WL6
220227	24/24 WL10	24/24 WL9	24/24 WL13	24/24 WL12	24/24 WL6	24/24 WL7	24/24 WL7	24/24 WL6
220228	24/24 WL10	24/24 WL10	24/24 WL13	24/24 WL12	24/24 WL6	24/24 WL7	24/24 WL7	24/24 WL6
220301	24/24 WL10	23/24 WL10	23/24 WL14	24/24 WL14	24/24 WL6	24/24 WL7	24/24 WL6	24/24 WL6
220302	24/24 WL10	24/24 WL9	24/24 WL13	24/24 WL14	24/24 WL6	24/24 WL7	24/24 WL6	24/24 WL6
220303	24/24 WL10	24/24 WL8	24/24 WL13	24/24 WL15	24/24 WL6	24/24 WL7	24/24 WL6	24/24 WL6
220304	24/24 WL9	24/24 WL8	24/24 WL13	24/24 WL15	24/24 WL6	24/24 WL7	24/24 WL6	24/24 WL6
220307	24/24 WL8	24/24 WL8	24/24 WL13	24/24 WL15	24/24 WL6	24/24 WL7	24/24 WL6	24/24 WL6
220308	24/24 WL8	24/24 WL8	24/24 WL13	24/24 WL15	24/24 WL6	24/24 WL7	23/24 WL6	24/24 WL6
220309	24/24 WL8	24/24 WL8	24/24 WL11	24/24 WL15	24/24 WL6	24/24 WL7	24/24 WL5	24/24 WL6
220311	24/24 WL8	24/24 WL8	24/24 WL11	24/24 WL15	24/24 WL6	24/24 WL7	24/24 WL6	24/24 WL6
220312	24/24 WL8	24/24 WL8	24/24 WL11	24/24 WL14	24/24 WL6	24/24 WL7	24/24 WL6	24/24 WL6
220314	24/24 WL8	24/24 WL8	24/24 WL10	24/24 WL14	24/24 WL6	24/24 WL7	24/24 WL6	24/24 WL6
220316	23/24 WL7	23/24 WL8	24/24 WL12	24/24 WL14	24/24 WL6	24/24 WL7	24/24 WL6	24/24 WL6
220317	24/24 WL6	24/24 WL7	24/24 WL12	24/24 WL14	24/24 WL6	24/24 WL7	24/24 WL6	24/24 WL6
220321	24/24 WL7	24/24 WL7	24/24 WL10	24/24 WL13	24/24 WL6	24/24 WL7	24/24 WL6	24/24 WL5
220323	24/24 WL6	24/24 WL6	24/24 WL10	24/24 WL13	24/24 WL6	24/24 WL7	24/24 WL6	24/24 WL5
220328	24/24 WL5	24/24 WL6	24/24 WL7	24/24 WL8	24/24 WL5	24/24 WL6	24/24 WL6	24/24 WL4
220328	24/24 WL5	24/24 WL5	24/24 WL7	24/24 WL8	24/24 WL5	24/24 WL6	24/24 WL5	24/24 WL4
220330	24/0 WL3	24/0 WL2	24/0 WL5	24/0 WL6	23/24 WL3	24/24 WL5	24/24 WL6	24/24 WL4
220331	24/0 WL2	23/0 WL1	24/0 WL5	24/0 WL5	24/0 WL2	24/0 WL4	24/0 WL6	24/0 WL3
220404	24/0 WL2	23/0	24/0 WL4	24/0 WL3	24/0 WL1	24/0	24/0 WL2	24/0 WL2
220406	24/0 WL2	23/0	24/0 WL4	24/0 WL2	24/0 WL1	24/0	24/0 WL2	24/0 WL2
220407	24/0 WL2	23/0	24/0 WL4	24/0 WL2	24/0 WL1	24/0	24/0 WL1	23/0 WL2
220408	24/0 WL2	23/0	24/0 WL4	24/0 WL1	24/0 WL1	24/0 WL1	24/0 WL1	24/0 WL1
