DATE	A01	A02	A03	A04	A05
220204	0/35	0/35	0/35	0/35	N/A
220213	2/35	0/35	4/35	0/35	N/A
220214	3/35	0/35	6/35	0/35	N/A
220215	18/35	2/35	9/35	0/35	N/A
220216	32/35	9/35	23/35	2/35	N/A
220216	35/35	19/35	35/35	7/35	N/A
220217	34/35	22/35	34/35	7/35	N/A
220218	35/35	23/35	33/35	9/35	N/A
220221	35/35	24/35	35/35	11/35	N/A
220222	35/35	26/35	35/35	13/35	N/A
220223	35/35 WL1	35/35	35/35 WL1	28/35	N/A
220224	35/35 WL3	34/35 WL3	35/35 WL4	35/35 WL2	N/A
220225	35/35 WL8	35/35 WL5	35/35 WL6	35/35 WL5	N/A
220226	35/35 WL8	34/35 WL6	35/35 WL8	35/35 WL6	N/A
220227	35/35 WL8	35/35 WL5	35/35 WL8	35/35 WL7	N/A
220228	35/35 WL8	35/35 WL5	35/35 WL8	34/35 WL7	N/A
220301	35/35 WL8	34/35 WL6	35/35 WL8	34/35 WL7	N/A
220302	35/35 WL8	35/35 WL6	35/35 WL8	35/35 WL6	N/A
220303	35/35 WL7	35/35 WL6	35/35 WL8	35/35 WL6	N/A
220304	35/35 WL7	35/35 WL7	34/35 WL8	35/35 WL8	N/A
220305	35/35 WL7	35/35 WL7	35/35 WL7	35/35 WL7	N/A
220307	35/35 WL7	35/35 WL7	35/35 WL7	35/35 WL8	N/A
220308	35/35 WL7	35/35 WL7	35/35 WL6	35/35 WL6	N/A
220309	35/35 WL7	35/35 WL7	36/35 WL5	35/35 WL6	N/A
220310	35/35 WL6	35/35 WL7	36/35 WL6	35/35 WL7	N/A
220311	35/35 WL6	35/35 WL7	36/35 WL7	35/35 WL7	N/A
220312	35/35 WL7	35/35 WL7	36/35 WL7	35/35 WL7	N/A
220316	35/35 WL7	35/35 WL7	36/35 WL6	35/35 WL7	N/A
220317	35/35 WL7	35/35 WL7	34/35 WL6	35/35 WL7	N/A
220321	35/35 WL7	35/35 WL6	35/35 WL6	35/35 WL7	N/A
220323	35/35 WL6	35/35 WL6	35/35 WL6	35/35 WL6	0/0
220324	35/35 WL2	35/35 WL3	35/35 WL3	35/35 WL3	8/0 WL2
220328	34/35 WL2	35/35 WL1	34/35 WL3	34/35 WL1	15/0 WL2
220328	34/35 WL3	35/35 WL2	34/35 WL3	32/35 WL3	15/0 WL4
220330	34/35 WL1	34/35 WL2	35/35	33/35	21/35
