DATE	A01	A02	A03	A04
220204	0/35	0/35	0/35	0/35
220212	2/35	0/35	1/35	1/35
220213	6/35	1/35	1/35	1/35
220214	9/35	1/35	1/35	1/35
220215	29/35	2/35	1/35	1/35
220216	33/35	2/35	3/35	2/35
220216	34/35	2/35	3/35	1/35
220217	35/35	3/35	3/35	1/35
220221	35/35	6/35	4/35	1/35
220222	35/35	8/35	4/35	1/35
220223	35/35	16/35	6/35	6/35
220224	35/35	20/35	7/35	6/35
220225	35/35	21/35	7/35	6/35
220228	34/35	21/35	7/35	6/35
220301	35/35	22/35	8/35	1/0
220302	35/35	23/35	8/35	1/0
220303	35/35	23/35	9/35	N/A
220308	34/35	22/35	8/35	N/A
220309	33/35	22/35	8/35	N/A
220312	34/35	22/35	7/35	N/A
220321	35/35	17/35	6/35	N/A
220323	33/35	17/35	6/35	N/A
