DATE	A01	A02	A03	A04
220204	0/30	0/30	0/30	0/30
220212	2/30	0/30	0/30	0/30
220213	5/30	3/30	1/30	2/30
220214	5/30	4/30	1/30	3/30
220215	8/30	5/30	3/30	5/30
220216	11/30	9/30	5/30	6/30
220216	17/30	16/30	6/30	7/30
220217	18/30	16/30	6/30	10/30
220218	23/30	25/30	9/30	22/30
220219	23/30	26/30	9/30	22/30
220221	22/30	28/30	9/30	28/30
220222	24/30	27/30	9/30	28/30
220223	28/30	26/30	10/30	29/30
220224	30/30	30/30	12/30	30/30 WL1
220225	30/30 WL4	30/30 WL4	30/30	30/30 WL4
220226	30/30 WL6	30/30 WL6	30/30 WL7	30/30 WL8
220301	30/30 WL7	29/30 WL6	30/30 WL7	30/30 WL8
220302	30/30 WL6	30/30 WL6	29/30 WL7	30/30 WL7
220303	30/30 WL6	30/30 WL6	29/30 WL6	30/30 WL7
220304	30/30 WL6	30/30 WL6	30/30 WL5	30/30 WL7
220305	30/30 WL6	30/30 WL4	30/30 WL5	30/30 WL7
220308	30/30 WL6	30/30 WL3	30/30 WL5	30/30 WL7
220310	30/30 WL7	30/30 WL3	30/30 WL5	30/30 WL7
220311	30/30 WL7	30/30 WL4	30/30 WL5	30/30 WL6
220312	30/30 WL6	30/30 WL5	30/30 WL5	30/30 WL6
220314	30/30 WL5	30/30 WL6	30/30 WL5	30/30 WL6
220321	30/30 WL6	30/30 WL6	30/30 WL5	30/30 WL5
220323	30/30 WL6	30/30 WL5	30/30 WL5	30/30 WL5
220328	30/30 WL4	30/30 WL4	30/30 WL5	30/30 WL4
220330	30/30 WL4	29/30 WL6	30/30 WL5	30/30 WL4
220331	30/30 WL3	30/30 WL4	30/30 WL5	30/30 WL4
220404	30/30 WL5	30/30 WL3	30/30 WL3	30/30 WL4
220405	30/30 WL5	30/30 WL3	30/30 WL2	30/30 WL4
