DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036
220204	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30
220212	1/30	5/30	5/30	2/30	2/30	1/30	0/30	1/30	8/30	3/30	0/30	0/30	0/30	0/30	1/30	0/30	0/30	3/30	0/30	1/30	1/30	0/30	1/30	0/30	1/30	0/30	2/30	1/30	3/30	0/30	1/30	2/30	0/30	2/30	0/30	3/30
220213	1/30	11/30	5/30	2/30	2/30	1/30	0/30	3/30	8/30	4/30	0/30	0/30	0/30	1/30	2/30	2/30	1/30	4/30	0/30	2/30	1/30	1/30	1/30	0/30	1/30	4/30	2/30	2/30	10/30	0/30	4/30	2/30	1/30	4/30	0/30	3/30
220214	1/30	11/30	5/30	2/30	3/30	1/30	0/30	3/30	9/30	4/30	0/30	0/30	0/30	1/30	2/30	2/30	1/30	4/30	0/30	2/30	1/30	1/30	1/30	0/30	1/30	4/30	2/30	3/30	12/30	0/30	4/30	2/30	1/30	4/30	0/30	3/30
220215	4/30	19/30	9/30	4/30	6/30	2/30	0/30	6/30	23/30	6/30	0/30	1/30	2/30	3/30	4/30	3/30	1/30	5/30	0/30	2/30	3/30	1/30	2/30	1/30	1/30	6/30	6/30	3/30	13/30	0/30	6/30	3/30	1/30	5/30	0/30	5/30
220216	7/30	30/30	20/30	13/30	10/30	6/30	6/30	14/30	30/30	21/30	1/30	3/30	7/30	13/30	9/30	10/30	1/30	10/30	0/30	7/30	5/30	6/30	6/30	1/30	4/30	20/30	21/30	6/30	30/30	1/30	10/30	6/30	5/30	12/30	2/30	6/30
220216	9/30	30/30	30/30	29/30	18/30	13/30	11/30	30/30	30/30	30/30	3/30	7/30	28/30	29/30	13/30	28/30	3/30	13/30	0/30	21/30	16/30	15/30	14/30	3/30	8/30	30/30	30/30	16/30	30/30	3/30	25/30	21/30	9/30	29/30	4/30	10/30
220217	9/30	30/30	30/30	30/30	20/30	15/30	11/30	30/30	30/30	30/30	4/30	7/30	29/30	30/30	15/30	29/30	3/30	13/30	0/30	22/30	16/30	16/30	15/30	3/30	9/30	30/30	30/30	18/30	30/30	3/30	27/30	28/30	12/30	30/30	4/30	12/30
220218	11/30	30/30	30/30	30/30	21/30	14/30	12/30	30/30	30/30	30/30	5/30	5/30	29/30	28/30	20/30	30/30	4/30	13/30	0/30	24/30	19/30	21/30	15/30	4/30	9/30	30/30	30/30	20/30	30/30	3/30	29/30	30/30	17/30	30/30	5/30	13/30
220219	11/30	30/30	30/30	30/30	21/30	13/30	12/30	30/30	30/30	30/30	6/30	5/30	30/30	30/30	20/30	30/30	4/30	13/30	0/30	26/30	20/30	21/30	15/30	4/30	9/30	30/30	30/30	20/30	30/30	3/30	29/30	28/30	17/30	30/30	5/30	13/30
220221	12/30	29/30	30/30	30/30	21/30	16/30	13/30	30/30	30/30	30/30 WL1	6/30	5/30	30/30 WL1	30/30	21/30	30/30	6/30	13/30	0/30	30/30	22/30	22/30	20/30	6/30	12/30	30/30	30/30	22/30	30/30	4/30	30/30	29/30	19/30	30/30	5/30	14/30
220222	13/30	29/30	30/30	30/30	21/30	16/30	14/30	30/30	30/30	30/30 WL1	7/30	5/30	30/30 WL1	30/30	21/30	30/30	6/30	13/30	0/30	30/30	22/30	23/30	20/30	6/30	12/30	30/30	30/30	23/30	30/30	4/30	30/30	29/30	19/30	30/30	5/30	14/30
220223	15/30	30/30	30/30	30/30	24/30	19/30	23/30	30/30	30/30 WL2	30/30 WL1	8/30	6/30	30/30 WL1	30/30	22/30	30/30	8/30	13/30	0/30	30/30	25/30	30/30	22/30	7/30	14/30	30/30	30/30	25/30	29/30 WL2	4/30	30/30	30/30	22/30	30/30	9/30	16/30
220224	19/30	30/30 WL1	30/30	30/30 WL1	28/30	18/30	27/30	30/30	30/30 WL2	30/30 WL1	11/30	7/30	29/30 WL1	30/30	28/30	30/30	10/30	18/30	2/30	30/30	30/30	30/30	28/30	12/30	20/30	30/30 WL1	30/30	27/30	30/30	5/30	30/30	30/30	29/30	30/30	13/30	18/30
220225	24/30	30/30 WL2	30/30 WL2	30/30	30/30 WL1	30/30	29/30	30/30 WL1	30/30 WL3	30/30 WL1	24/30	14/30	30/30	30/30	30/30 WL1	28/30	23/30	22/30	4/30	29/30 WL1	30/30	29/30	30/30	21/30	22/30	30/30 WL1	30/30 WL1	29/30	30/30 WL1	10/30	30/30	30/30	30/30	30/30	28/30	24/30
220226	25/30	30/30 WL2	30/30 WL2	30/30	30/30	30/30	28/30	30/30	30/30 WL3	30/30	26/30	14/30	30/30	30/30	30/30 WL1	30/30	24/30	22/30	5/30	30/30	30/30	30/30	30/30	22/30	22/30	30/30 WL1	30/30	30/30	30/30 WL1	10/30	30/30	30/30 WL1	30/30	30/30	28/30	23/30
220227	25/30	30/30 WL2	30/30 WL2	30/30	30/30	30/30 WL1	28/30	30/30	30/30 WL3	30/30	26/30	14/30	30/30	30/30	30/30 WL1	30/30	24/30	22/30	5/30	30/30	30/30	30/30	30/30	22/30	22/30	30/30 WL1	30/30	30/30	30/30 WL1	10/30	30/30	30/30 WL1	30/30	30/30	28/30	24/30
220228	26/30	30/30 WL2	30/30 WL2	30/30	29/30	30/30 WL1	28/30	29/30	30/30 WL3	30/30	26/30	14/30	30/30	30/30	30/30 WL1	29/30	25/30	22/30	5/30	30/30	30/30	30/30	30/30	22/30	22/30	30/30 WL1	30/30	30/30	30/30 WL1	11/30	30/30	30/30 WL1	30/30	30/30	29/30	24/30
