DATE	A00
220204	0/220
220212	1/220
220213	8/220
220215	15/220
220216	27/220
220216	30/220
220217	33/220
220218	58/220
220219	60/220
220220	61/220
220221	62/220
220221	77/220
220222	80/220
220223	103/220
220224	140/220
220225	220/220 WL14
220226	220/220 WL32
220302	219/220 WL32
220303	219/220 WL29
220304	220/220 WL28
220305	220/220 WL30
220306	220/220 WL27
220307	220/250 WL27
220308	246/250
220309	250/250 WL1
220312	250/250 WL2
220314	250/250 WL4
220316	250/250 WL5
220317	249/250 WL9
220321	250/250 WL10
220323	249/250 WL12
220328	248/250 WL11
220328	247/250 WL27
220330	245/250 WL21
220331	248/250 WL21
220404	249/250 WL18
220405	250/250 WL14
220406	257/250 WL8
