DATE	A01	A02	B01	B02
220204	0/35	0/35	0/35	0/35
220212	0/35	0/35	3/35	0/35
220213	2/35	0/35	6/35	0/35
220214	3/35	0/35	7/35	0/35
220215	4/35	1/35	15/35	1/35
220216	5/35	1/35	21/35	2/35
220216	9/35	2/35	22/35	3/35
220217	8/35	2/35	22/35	4/35
220218	8/35	2/35	27/35	7/35
220219	8/35	2/35	28/35	7/35
220221	8/35	2/35	29/35	7/35
220221	12/35	2/35	34/35	8/35
220222	13/35	2/35	34/35	10/35
220223	21/35	1/35	35/35 WL2	34/35 WL2
220224	33/35	3/35	35/35 WL6	35/35 WL5
220225	35/35 WL1	24/35	35/35 WL6	35/35 WL7
220226	35/35 WL1	27/35	35/35 WL6	35/35 WL8
220227	35/35 WL1	28/35	35/35 WL7	35/35 WL9
220228	35/35 WL1	30/35	35/35 WL6	35/35 WL9
220301	35/35 WL1	35/35	35/35 WL7	35/35 WL9
220302	35/35 WL1	35/35 WL2	35/35 WL6	34/35 WL7
220303	35/35 WL2	35/35 WL2	35/35 WL6	35/35 WL6
220305	34/35 WL2	35/35 WL1	35/35 WL6	35/35 WL6
220306	35/35 WL1	35/35 WL2	35/35 WL6	35/35 WL6
220308	35/35 WL2	35/35 WL2	35/35 WL6	35/35 WL6
220309	35/35 WL3	35/35 WL2	35/35 WL7	35/35 WL6
220311	35/35 WL3	35/35 WL2	35/35 WL7	35/35 WL7
220312	35/35 WL3	35/35 WL2	35/35 WL7	35/35 WL6
220314	35/35 WL2	35/35 WL2	34/35 WL7	35/35 WL6
220316	35/35 WL4	34/35 WL3	35/35 WL7	35/35 WL5
220317	N/A	N/A	58/70 WL6	39/70 WL6
220321	N/A	N/A	65/70 WL7	44/50 WL6
220323	N/A	N/A	66/70 WL8	44/50 WL8
220324	N/A	N/A	65/70 WL9	44/50 WL8
220328	N/A	N/A	65/70 WL9	44/50 WL6
220328	N/A	N/A	65/70 WL9	44/70 WL8
220330	N/A	N/A	68/70 WL3	70/70 WL2
220331	N/A	N/A	69/70 WL4	67/70 WL3
220404	N/A	N/A	70/70 WL2	70/70 WL4
220405	N/A	N/A	69/70 WL3	70/70 WL3
220406	N/A	N/A	70/70 WL2	70/70 WL2
220407	N/A	N/A	69/70 WL2	70/70 WL2
220408	N/A	N/A	70/70 WL2	69/70 WL1
220417	N/A	N/A	70/70 WL2	70/70 WL1
220417	40/40 WL8	N/A	N/A	N/A
220417	14/30	N/A	N/A	N/A
