DATE	A01	A02	A03	A04	A05
220204	0/30	0/30	0/30	0/30	N/A
220212	2/30	0/30	2/30	0/30	N/A
220213	4/30	1/30	11/30	3/30	N/A
220214	4/30	1/30	15/30	3/30	N/A
220215	5/30	2/30	24/30	3/30	N/A
220216	5/30	2/30	30/30	7/30	N/A
220216	6/30	5/30	30/30	17/30	N/A
220217	6/30	5/30	30/30	18/30	N/A
220218	21/30	6/30	30/30	30/30	N/A
220219	22/30	6/30	30/30	30/30	N/A
220221	26/30	7/30	30/30 WL5	30/30	N/A
220222	30/30	8/30	30/30 WL6	30/30 WL1	N/A
220223	30/30 WL1	20/30	29/30 WL5	30/30 WL5	N/A
220224	30/30 WL1	24/30	30/30 WL7	30/30 WL5	N/A
220225	30/30 WL5	29/30 WL5	30/30 WL7	30/30 WL8	N/A
220226	29/30 WL8	30/30 WL5	30/30 WL7	30/30 WL9	N/A
220227	30/30 WL7	30/30 WL5	30/30 WL7	30/30 WL9	N/A
220228	30/30 WL7	30/30 WL5	30/30 WL7	30/30 WL10	N/A
220301	30/30 WL8	30/30 WL6	30/30 WL7	30/30 WL9	N/A
220302	30/30 WL8	30/30 WL6	30/30 WL8	30/30 WL9	N/A
220303	30/30 WL8	30/30 WL4	30/30 WL9	30/30 WL9	N/A
220304	30/30 WL8	30/30 WL6	30/30 WL9	30/30 WL9	N/A
220305	30/30 WL6	30/30 WL5	30/30 WL9	30/30 WL9	N/A
220307	30/30 WL5	30/30 WL5	30/30 WL10	30/30 WL9	N/A
220308	30/30 WL5	30/30 WL6	30/30 WL10	30/30 WL8	0/30
220309	30/30 WL5	30/30 WL5	30/30 WL9	30/30 WL7	3/30
220310	30/30 WL4	30/30 WL5	30/30 WL9	30/30 WL7	5/30
220311	30/30 WL4	29/30 WL5	30/30 WL9	30/30 WL7	8/30
220312	30/30 WL2	30/30 WL2	30/30 WL5	30/30 WL4	19/30
220314	30/30 WL1	29/30 WL2	30/30 WL4	30/30 WL4	22/30
220316	30/32 WL1	30/32 WL1	30/32 WL4	30/32 WL4	24/32
220317	31/32	30/32 WL1	32/32 WL2	32/32 WL2	25/32
220321	32/32	29/32 WL1	32/32 WL1	32/32 WL2	31/32
220323	32/32 WL1	29/32 WL1	32/32 WL1	31/32 WL2	32/32 WL1
220324	32/32 WL2	29/32 WL1	32/32 WL1	32/32 WL1	32/32 WL1
220328	32/32 WL2	29/32 WL1	32/32 WL3	32/32	32/32 WL1
220328	31/32 WL3	29/32 WL1	32/32 WL4	32/32 WL3	32/32 WL2
220330	30/32 WL2	28/32 WL2	30/32 WL3	32/32 WL3	30/32 WL2
220331	31/32	29/32 WL1	32/32 WL1	32/32 WL3	31/32 WL1
220404	32/32 WL1	27/32 WL1	32/32 WL1	32/32 WL3	32/32 WL2
220405	32/32 WL1	26/32 WL1	32/32 WL1	32/32 WL3	32/32 WL1
220406	32/32	25/32 WL1	32/32 WL1	32/32 WL1	32/32 WL1
220407	32/32 WL1	25/32 WL1	32/32 WL1	32/32 WL1	32/32 WL1
220408	31/32 WL1	25/32 WL1	32/32 WL1	32/32 WL1	31/32 WL1
220410	31/32 WL1	25/32 WL1	32/32	32/32 WL1	31/32 WL1
220412	31/32 WL1	24/32 WL1	32/32	32/32 WL1	31/32 WL1
