DATE	001	002	003	004	005	006	007	008	009	010	011
220215	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220216	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220216	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220217	1	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220223	1	2	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220224	1	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220302	1	2	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220308	1	2	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A
220309	1	2	1	1	1	8	0	N/A	N/A	N/A	N/A
220310	1	2	1	1	1	9	0	N/A	N/A	N/A	N/A
220311	1	2	1	1	1	11	1	N/A	N/A	N/A	N/A
220316	1	2	1	1	1	12	1	N/A	N/A	N/A	N/A
220317	2	2	1	1	1	12	2	N/A	N/A	N/A	N/A
220321	2	3	1	1	1	14	3	1	N/A	N/A	N/A
220323	2	3	1	1	1	14	3	2	0	0	0
