DATE	A00	B00	C00	D00
220204	0/85	0/85	0/85	N/A
220212	1/85	0/85	0/85	N/A
220214	2/85	0/85	0/85	N/A
220215	8/85	8/85	2/85	N/A
220216	12/85	14/85	6/85	N/A
220216	18/85	17/85	7/85	N/A
220217	20/85	17/85	6/85	N/A
220218	22/85	18/85	7/85	N/A
220221	26/85	20/85	9/85	N/A
220222	28/85	21/85	9/85	N/A
220223	39/85	32/85	18/85	N/A
220224	45/85	44/85	24/85	N/A
220225	56/85	53/85	28/85	N/A
220226	56/85	56/85	29/85	N/A
220228	55/85	58/85	28/85	N/A
220301	58/85	61/85	31/85	N/A
220302	58/85	61/85	30/85	N/A
220303	57/85	61/85	30/85	N/A
220304	57/85	60/85	30/85	N/A
220306	57/85	62/85	30/85	N/A
220307	57/85	60/85	30/85	N/A
220308	58/85	60/85	30/85	N/A
220309	59/85	59/85	30/85	N/A
220311	59/85	59/85	29/85	N/A
220316	58/85	59/85	29/85	N/A
220321	61/85	61/85	28/85	N/A
220323	61/85	60/85	29/85	N/A
220324	60/85	60/85	29/85	N/A
220328	59/85	61/85	26/85	N/A
220328	61/85	64/85	28/85	N/A
220330	69/85	65/85	37/85	N/A
220331	64/85	68/85	36/85	N/A
220404	64/85	70/85	38/85	N/A
220405	62/85	72/85	39/85	N/A
220406	61/85	70/85	40/85	N/A
220407	60/85	71/85	39/85	N/A
220408	58/85	70/85	41/85	N/A
220412	56/85	70/85	41/85	N/A
220417	55/85	68/85	40/85	N/A
220823	40/90	39/90	14/90	90/90 WL50
