DATE	A01	A02
220204	0/30	0/30
220214	0/30	1/30
220215	2/30	2/30
220216	4/30	4/30
220216	4/30	5/30
220217	5/30	4/30
220218	4/30	4/30
220221	4/30	6/30
220223	8/30	7/30
220224	9/30	9/30
220225	15/30	10/30
220301	16/30	9/30
220305	17/30	9/30
220307	17/30	10/30
220308	15/30	11/30
220314	15/30	12/30
220316	14/30	13/30
220324	14/30	12/30
220328	14/30	13/30
220330	14/30	14/30
220331	14/30	13/30
220404	11/30	14/30
220405	12/30	14/30
220406	13/30	16/30
220407	15/30	16/30
220410	14/30	17/30
220412	14/30	16/30
