DATE	A00	B00	C00	D00
220204	0/70	0/70	N/A	N/A
220212	1/70	1/70	N/A	N/A
220213	2/70	3/70	N/A	N/A
220215	4/70	10/70	N/A	N/A
220216	12/70	18/70	N/A	N/A
220216	14/70	25/70	N/A	N/A
220218	14/70	27/70	N/A	N/A
220221	16/70	33/70	N/A	N/A
220222	17/70	34/70	N/A	N/A
220223	25/70	43/70	N/A	N/A
220224	34/70	53/70	N/A	N/A
220225	37/70	68/70	N/A	N/A
220226	39/70	69/70 WL2	N/A	N/A
220227	39/70	70/70 WL1	N/A	N/A
220303	40/70	70/70 WL1	N/A	N/A
220308	41/70	70/70 WL1	N/A	N/A
220309	41/70	70/70 WL2	N/A	N/A
220321	N/A	N/A	21/70	49/70
220323	N/A	N/A	27/70	67/70
220324	N/A	N/A	33/70	70/70
220328	N/A	N/A	40/70	70/70 WL1
220328	N/A	N/A	41/70	70/70 WL1
220330	N/A	N/A	45/70	69/70 WL1
220331	N/A	N/A	45/70	70/70
220404	N/A	N/A	44/70	70/70
220407	N/A	N/A	45/70	70/70
220417	N/A	N/A	46/70	70/70
