DATE	A01	A02	A03	A04	A05	A06
220204	0/20	0/20	0/20	0/20	N/A	N/A
220213	1/20	0/20	2/20	0/20	N/A	N/A
220214	2/20	0/20	2/20	0/20	N/A	N/A
220215	2/20	0/20	3/20	0/20	N/A	N/A
220216	2/20	0/20	5/20	0/20	N/A	N/A
220221	3/20	0/20	5/20	0/20	N/A	N/A
220223	3/20	0/20	6/20	1/20	N/A	N/A
220224	4/20	0/20	6/20	1/20	N/A	N/A
220225	5/20	0/20	7/20	1/20	N/A	N/A
220226	5/20	0/20	7/20	0/20	N/A	N/A
220302	7/20	0/20	8/20	0/20	N/A	N/A
220303	8/20	0/0	9/20	0/0	N/A	N/A
220304	9/20	0/0	9/20	0/0	N/A	N/A
220305	10/20	0/0	11/20	0/0	N/A	N/A
220307	10/0	0/0	11/20	0/20	N/A	N/A
220308	N/A	N/A	18/20	0/20	N/A	N/A
220309	N/A	N/A	18/20	1/20	N/A	N/A
220321	N/A	N/A	18/20	2/20	N/A	N/A
220323	N/A	N/A	19/20	2/20	N/A	N/A
220324	N/A	N/A	20/20	3/20	N/A	N/A
220328	N/A	N/A	20/20 WL1	4/20	N/A	N/A
220330	N/A	N/A	20/20	7/20	N/A	N/A
220404	N/A	N/A	19/20	5/20	N/A	N/A
220406	N/A	N/A	19/20	6/20	N/A	N/A
220417	8/20	N/A	N/A	N/A	N/A	N/A
220823	3/0 WL18	4/0 WL16	3/0 WL7	0/0 WL6	2/0 WL5	1/0 WL2
