DATE	A01	A02	A03	A04
220204	0/34	0/34	N/A	N/A
220213	1/34	0/34	N/A	N/A
220214	2/34	0/34	N/A	N/A
220215	2/34	1/34	N/A	N/A
220216	4/34	4/34	N/A	N/A
220216	6/34	5/34	N/A	N/A
220218	6/34	6/34	N/A	N/A
220219	7/34	6/34	N/A	N/A
220221	7/34	7/34	N/A	N/A
220223	11/34	11/34	N/A	N/A
220224	13/34	12/34	N/A	N/A
220225	20/34	18/34	N/A	N/A
220226	21/34	19/34	N/A	N/A
220301	22/34	20/34	N/A	N/A
220302	22/34	21/34	N/A	N/A
220303	22/34	20/34	N/A	N/A
220304	23/34	20/34	N/A	N/A
220307	22/34	20/34	N/A	N/A
220308	21/34	19/34	N/A	N/A
220311	21/34	18/34	N/A	N/A
220316	22/34	17/34	N/A	N/A
220317	23/34	17/34	N/A	N/A
220321	24/34	18/34	N/A	N/A
220323	23/34	19/34	N/A	N/A
220328	24/34	19/34	N/A	N/A
220328	27/34	25/34	N/A	N/A
220330	30/34	29/34	N/A	N/A
220331	31/34	31/34	N/A	N/A
220404	30/34	29/34	N/A	N/A
220406	30/34	30/34	N/A	N/A
220407	30/34	29/34	N/A	N/A
220408	31/34	29/34	N/A	N/A
220412	31/34	28/34	N/A	N/A
220823	6/25	25/25	16/25	25/25
