DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A
220311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A
220312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A
220317	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A
220321	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	N/A	N/A
220323	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	N/A	N/A
220324	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	1	N/A	N/A
220328	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	1	1	1	N/A	N/A
220328	0	0	1	0	0	0	0	0	2	0	1	0	0	0	1	1	1	1	N/A	N/A
220331	0	0	1	0	0	0	0	0	2	0	2	0	0	0	1	1	1	1	N/A	N/A
220404	0	0	1	0	0	0	0	0	2	0	3	0	0	0	1	1	1	1	0	N/A
220405	0	1	1	0	0	0	0	0	2	0	3	0	0	0	1	1	1	1	1	N/A
220406	0	1	1	0	0	0	0	0	2	0	3	0	0	0	1	1	2	1	1	N/A
220407	0	1	2	0	0	0	0	0	2	0	3	0	0	0	2	1	2	1	1	N/A
220408	0	2	2	1	0	0	0	0	2	0	3	0	0	0	2	1	2	1	1	0
220410	0	2	2	1	0	0	0	0	2	0	3	0	0	0	2	1	2	2	1	0
220417	0	3	2	1	0	0	0	0	2	0	3	0	0	0	2	1	2	2	1	0
