DATE	A01
220204	0/150
220212	1/150
220215	3/150
220216	5/150
220216	11/150
220217	12/150
220218	13/150
220225	16/150
220301	58/150
220302	83/150
220303	100/150
220304	124/150
220305	127/150
220306	128/150
220307	134/150
220308	139/150
220309	146/150
220311	148/150
220312	150/150
220314	150/150 WL2
220316	150/150 WL3
220321	150/150 WL5
220323	150/150 WL8
220324	150/150 WL9
220328	150/150 WL8
220328	150/150 WL16
220330	145/150 WL17
220331	150/150 WL12
220404	149/150 WL5
220405	150/150 WL4
220406	150/150 WL2
220408	152/158
220410	148/158
220412	146/158
