DATE	A01	A02	A03	A04	A05	A06
220204	0/50	0/50	0/50	0/50	N/A	N/A
220213	5/50	3/50	0/50	1/50	N/A	N/A
220214	6/50	3/50	0/50	2/50	N/A	N/A
220215	13/50	5/50	2/50	2/50	N/A	N/A
220216	19/50	6/50	2/50	2/50	N/A	N/A
220216	19/50	10/50	2/50	4/50	N/A	N/A
220217	20/50	10/50	3/50	4/50	N/A	N/A
220218	31/50	17/50	12/50	14/50	N/A	N/A
220219	33/50	17/50	13/50	14/50	N/A	N/A
220221	34/50	17/50	14/50	14/50	N/A	N/A
220221	38/50	21/50	17/50	15/50	N/A	N/A
220222	43/50	20/50	17/50	16/50	N/A	N/A
220223	50/50 WL1	28/50	18/50	19/50	N/A	N/A
220224	50/50	35/50	24/50	26/50	N/A	N/A
220225	50/50 WL3	50/50 WL1	35/50	36/50	N/A	N/A
220226	50/50 WL5	50/50 WL5	50/50 WL6	50/50 WL8	N/A	N/A
220227	50/50 WL6	50/50 WL3	50/50 WL6	50/50 WL9	N/A	N/A
220228	50/50 WL6	50/50 WL4	50/50 WL6	50/50 WL8	N/A	N/A
220301	50/50 WL6	50/50 WL6	50/50 WL6	49/50 WL9	N/A	N/A
220302	49/50 WL7	50/50 WL6	49/50 WL7	50/50 WL8	N/A	N/A
220303	50/50 WL7	50/50 WL8	50/50 WL6	50/50 WL7	N/A	N/A
220304	50/50 WL7	50/50 WL7	50/50 WL6	50/50 WL8	N/A	N/A
220305	50/50 WL7	50/50 WL7	50/50 WL7	50/50 WL8	N/A	N/A
220307	50/50 WL9	50/50 WL7	50/50 WL7	50/50 WL8	N/A	N/A
220308	50/50 WL7	50/50 WL7	50/50 WL7	50/50 WL8	N/A	N/A
220309	50/50 WL7	50/50 WL6	50/50 WL8	50/50 WL7	N/A	N/A
220310	50/50 WL7	50/50 WL7	50/50 WL6	50/50 WL6	N/A	N/A
220311	50/50 WL6	50/50 WL7	50/50 WL5	50/50 WL6	N/A	N/A
220312	50/50 WL7	50/50 WL7	50/50 WL5	50/50 WL6	N/A	N/A
220314	50/50 WL6	49/50 WL6	50/50 WL5	50/50 WL6	N/A	N/A
220316	50/50 WL6	50/50 WL6	50/50 WL5	50/50 WL5	N/A	N/A
220317	50/50 WL7	50/50 WL6	49/50 WL5	50/50 WL5	N/A	N/A
220321	50/50 WL7	50/50 WL5	50/50 WL6	50/50 WL5	N/A	N/A
220323	50/50 WL6	50/50 WL6	50/50 WL6	50/50 WL7	N/A	N/A
220324	49/50 WL6	50/50 WL6	50/50 WL5	50/50 WL6	N/A	N/A
220328	49/50 WL5	50/50 WL4	50/50 WL5	50/50 WL4	N/A	N/A
220328	48/50 WL5	50/50 WL6	50/50 WL5	50/50 WL5	N/A	N/A
220330	50/50 WL5	50/50 WL5	50/50 WL5	48/50 WL5	N/A	N/A
220331	50/50 WL5	50/50 WL4	50/50 WL5	50/50 WL4	N/A	N/A
220404	50/50 WL5	50/50 WL1	49/50 WL6	50/50 WL2	N/A	N/A
220405	50/50 WL3	50/50 WL2	50/50 WL4	50/50 WL2	N/A	N/A
220406	49/50 WL4	50/50 WL1	49/50 WL4	49/50 WL2	N/A	N/A
220407	50/50 WL1	50/50 WL1	50/50 WL2	50/50	N/A	N/A
220408	50/50 WL1	49/50 WL1	50/50 WL2	50/50 WL1	N/A	N/A
220417	49/50 WL1	48/50 WL1	49/50 WL2	49/50 WL1	N/A	N/A
220417	34/35 WL1	28/35	N/A	N/A	N/A	N/A
220417	18/40	5/40	N/A	N/A	N/A	N/A
220823	50/50 WL3	50/50 WL2	50/50 WL1	50/50 WL2	50/50 WL4	50/50 WL3
