DATE	A00	B00
220204	0/25	N/A
220206	0/25	0/25
220212	0/25	1/25
220213	3/25	1/25
220215	8/25	1/25
220216	9/25	2/25
220218	12/25	2/25
220221	14/25	2/25
220223	16/25	5/25
220225	22/25	7/25
220226	25/25	11/25
220227	25/25	12/25
220228	25/25 WL1	14/25
220301	25/25 WL2	17/25
220302	24/25 WL2	17/25
220303	25/25 WL1	19/25
220308	25/25	19/25
220309	25/25	21/25
220310	25/25	22/25
220312	25/25	21/25
220314	25/25	22/25
220316	25/25 WL1	21/25
220323	25/25 WL1	22/25
220324	25/25 WL2	21/25
220328	25/25 WL3	21/25
220330	25/25 WL2	25/25
220331	25/25 WL3	24/25
220404	25/25 WL3	23/25 WL3
220405	25/25 WL3	24/25 WL1
220406	26/25 WL2	25/25 WL2
