DATE	A01	A02	A03	A04	A05	A06	B01	B02	B03	B04	B05	B06
220204	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40
220212	0/40	0/40	0/40	1/40	0/40	0/40	0/40	0/40	0/40	1/40	1/40	0/40
220213	0/40	4/40	2/40	1/40	3/40	0/40	4/40	0/40	0/40	4/40	5/40	3/40
220214	0/40	4/40	2/40	2/40	3/40	0/40	4/40	0/40	0/40	4/40	5/37	3/40
220215	0/40	5/40	5/40	2/40	4/40	0/40	4/40	0/40	0/40	5/40	6/37	6/40
220216	1/40	7/40	5/40	2/40	4/40	0/40	5/40	0/40	0/40	6/40	7/37	8/40
220216	4/40	10/40	6/40	2/40	7/40	0/40	9/40	2/40	1/40	7/40	10/37	14/40
220217	4/40	12/40	7/40	2/40	7/40	0/40	10/40	2/40	1/40	11/40	10/37	17/40
220218	22/40	32/40	28/40	11/40	13/40	8/40	27/40	7/40	4/40	40/40	37/37	40/40
220219	23/40	32/40	28/40	11/40	12/40	8/40	27/40	7/40	4/40	40/40	36/37	40/40
220221	27/40	32/40	29/40	11/40	13/40	9/40	29/40	7/40	4/40	40/40	37/37	40/40
220222	27/40	33/40	29/40	11/40	13/40	9/40	29/40	7/40	4/40	40/40	37/37	40/40
220223	27/40	32/40	29/40	11/40	14/40	10/40	31/40	8/40	5/40	40/40	37/37	40/40
220224	28/40	32/40	30/40	11/40	14/40	10/40	36/40	8/40	5/40	40/40	37/37	40/40
220225	34/40	32/40	38/40	17/40	16/40	10/40	40/40 WL1	22/38	14/40	40/40 WL1	37/37 WL1	40/40 WL1
220226	40/40 WL1	40/40 WL1	40/40 WL2	30/40	32/40	15/40	40/40 WL2	38/38 WL1	40/40 WL1	40/40 WL2	37/37 WL3	40/40 WL2
220227	40/40 WL1	40/40 WL1	40/40 WL2	32/40	32/40	15/40	40/40 WL2	38/38 WL1	40/40 WL1	40/40 WL2	37/37 WL3	40/40 WL2
220228	40/40 WL1	40/40 WL1	40/40 WL2	31/40	33/40	15/40	40/40 WL2	38/38 WL1	40/40 WL1	40/40 WL2	37/37 WL3	40/40 WL3
220301	40/40 WL1	40/40	40/40 WL2	34/40	33/40	16/40	40/40 WL2	38/38 WL1	40/40 WL1	40/40 WL2	37/37 WL3	40/40 WL3
