DATE	A01	A02	A03	A04	B01	B02
220204	0/75	0/75	0/75	0/75	N/A	N/A
220212	2/75	1/69	0/75	0/75	N/A	N/A
220213	4/75	6/69	2/75	1/75	N/A	N/A
220214	5/75	9/69	2/75	2/75	N/A	N/A
220215	18/75	28/69	3/75	5/75	N/A	N/A
220216	27/75	48/69	8/75	14/75	N/A	N/A
220216	41/75	69/69	8/75	23/75	N/A	N/A
220217	48/75	69/69	9/75	26/75	N/A	N/A
220218	50/75	69/69	11/75	27/75	N/A	N/A
220219	50/75	69/69	11/75	28/75	N/A	N/A
220221	50/75	69/69	11/75	29/75	N/A	N/A
220222	50/75	69/69	11/75	30/75	N/A	N/A
220223	64/75	75/69	13/75	40/75	N/A	N/A
220224	70/75	74/69	17/75	43/75	N/A	N/A
220225	74/75	73/69 WL1	28/75	56/75	N/A	N/A
220226	75/75 WL1	73/69 WL1	30/75	57/75	N/A	N/A
220228	75/75	73/69 WL1	30/75	57/75	N/A	N/A
220301	75/75	73/69 WL1	32/75	56/75	N/A	N/A
220303	74/75	73/69 WL1	32/75	57/75	N/A	N/A
220304	74/75	73/69 WL1	33/75	57/75	N/A	N/A
220305	74/75	73/69 WL1	33/75	56/75	N/A	N/A
220306	74/75	73/69 WL1	34/75	56/75	N/A	N/A
220307	74/75	73/69 WL1	33/75	56/75	N/A	N/A
220308	74/75	73/69 WL2	33/75	56/75	N/A	N/A
220309	75/75	73/69 WL2	33/75	56/75	N/A	N/A
220310	75/75	73/75 WL2	33/75	56/75	N/A	N/A
220311	74/75	74/75 WL1	33/75	56/75	N/A	N/A
220314	72/75	74/75 WL1	33/75	56/75	N/A	N/A
220316	73/75	74/75 WL1	34/75	56/75	N/A	N/A
220321	72/75	74/75 WL1	33/75	55/75	N/A	N/A
220323	74/75	75/75	34/75	58/75	N/A	N/A
220324	73/75	74/75	35/75	59/75	N/A	N/A
220328	72/75	74/75	36/75	56/75	N/A	N/A
220328	73/75	75/75	44/75	60/75	N/A	N/A
220330	73/75	74/75	44/75	63/75	N/A	N/A
220331	73/75	73/75	44/75	63/75	N/A	N/A
220404	71/75	74/75	45/75	62/75	N/A	N/A
220406	71/75	74/75	44/75	62/75	N/A	N/A
220408	72/75	74/75	44/75	61/75	N/A	N/A
220410	72/75	74/75	45/75	61/75	N/A	N/A
220417	71/75	74/75	44/75	61/75	N/A	N/A
220417	60/60 WL38	N/A	N/A	N/A	N/A	N/A
220823	75/75	N/A	N/A	N/A	75/75	40/75
