DATE	A01	A02
220204	0/35	0/35
220212	3/35	1/35
220213	15/35	5/35
220214	19/35	6/35
220215	35/35	20/35
220216	35/35	35/35
220221	35/35 WL2	34/35 WL2
220222	35/35 WL2	35/35 WL1
220223	35/35 WL6	35/35 WL7
220224	35/35 WL8	35/35 WL9
220225	35/35 WL10	35/35 WL11
220226	35/35 WL11	35/35 WL11
220301	35/35 WL10	34/35 WL11
220302	35/35 WL10	34/35 WL10
220303	35/35 WL10	35/35 WL8
220308	35/35 WL10	35/35 WL7
220310	35/35 WL11	35/35 WL7
220321	35/35 WL10	35/35 WL8
220328	35/35 WL9	35/35 WL8
220328	35/35 WL8	35/35 WL9
220330	33/35 WL8	34/35 WL8
220331	35/35 WL6	35/35 WL8
220404	34/35 WL6	35/35 WL8
220405	35/35 WL5	35/35 WL7
220406	35/35 WL4	35/35 WL5
